player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
山口俊,2.86,19.0,11.0,5.0,0.0,0.0,0.0,5.0,0.688,570.0,138.2,112.0,10.0,44.0,4.0,121.0,7.85,48.0,44.0,3.0,0.0,1.13,3.35,2.75,1.19,0.773,DeNA,2009
吉川輝昭,7.43,21.0,2.0,2.0,0.0,2.0,4.0,0.0,0.5,132.0,26.2,39.0,7.0,15.0,0.0,13.0,4.39,23.0,22.0,0.0,0.0,2.03,7.13,0.87,1.05,0.681,DeNA,2009
那須野巧,11.57,12.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,34.0,7.0,9.0,1.0,5.0,0.0,5.0,6.43,9.0,9.0,0.0,0.0,2.0,5.69,1.0,1.43,0.385,DeNA,2009
小林太志,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,4.0,1.0,0.0,0.0,2.0,6.0,2.0,2.0,0.0,0.0,1.33,6.12,1.0,0.67,0.667,DeNA,2009
高宮和也,5.23,21.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,56.0,10.1,18.0,0.0,1.0,5.0,11.0,9.58,7.0,6.0,0.0,0.0,1.84,2.73,11.0,1.16,0.75,DeNA,2009
加藤武治,5.73,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,11.0,15.0,2.0,5.0,0.0,11.0,9.0,7.0,7.0,0.0,0.0,1.82,4.3,2.2,1.45,0.722,DeNA,2009
三浦大輔,11.05,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,75.0,14.2,29.0,3.0,4.0,0.0,14.0,8.59,18.0,18.0,0.0,0.0,2.25,4.69,3.5,1.23,0.5,DeNA,2009
藤江均,4.7,16.0,1.0,1.0,0.0,1.0,2.0,0.0,0.5,73.0,15.1,19.0,3.0,6.0,0.0,14.0,8.22,12.0,8.0,0.0,0.0,1.63,5.01,2.33,1.3,0.773,DeNA,2009
木塚敦志,12.27,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,3.2,10.0,2.0,0.0,0.0,2.0,4.91,5.0,5.0,0.0,0.0,2.73,9.12,2.86,0.55,0.625,DeNA,2009
吉見祐治,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.1,5.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.5,5.37,0.0,0.75,0.333,DeNA,2009
高崎健太郎,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,6.12,0.0,1.0,0.4,DeNA,2009
寺原隼人,3.9,13.0,2.0,7.0,0.0,0.0,0.0,2.0,0.222,362.0,83.0,89.0,8.0,23.0,1.0,77.0,8.35,43.0,36.0,0.0,0.0,1.35,3.35,3.35,1.2,0.733,DeNA,2009
秦裕二,5.59,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,45.0,9.2,15.0,2.0,4.0,0.0,7.0,6.52,6.0,6.0,0.0,0.0,1.97,5.6,1.75,1.14,0.765,DeNA,2009
真田裕貴,4.22,53.0,2.0,0.0,0.0,3.0,5.0,0.0,1.0,214.0,49.0,66.0,4.0,8.0,4.0,18.0,3.31,25.0,23.0,0.0,0.0,1.51,4.12,2.25,0.53,0.743,DeNA,2009
