player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
篠田純平,4.7,12.0,3.0,4.0,0.0,0.0,0.0,0.0,0.429,223.0,51.2,61.0,5.0,14.0,1.0,24.0,4.18,29.0,27.0,0.0,0.0,1.45,4.32,1.71,0.74,0.69,広島,2010
今村猛,5.17,43.0,3.0,2.0,1.0,13.0,16.0,0.0,0.6,173.0,38.1,37.0,5.0,21.0,1.0,35.0,8.22,26.0,22.0,0.0,0.0,1.51,4.63,1.67,1.46,0.685,広島,2010
大竹寛,3.37,25.0,10.0,10.0,0.0,0.0,0.0,1.0,0.5,675.0,163.0,152.0,13.0,49.0,4.0,100.0,5.52,64.0,61.0,0.0,0.0,1.23,3.89,2.04,0.91,0.75,広島,2010
前田健太,2.09,29.0,15.0,8.0,0.0,0.0,0.0,5.0,0.652,821.0,206.1,168.0,5.0,41.0,6.0,175.0,7.63,49.0,48.0,0.0,0.0,1.01,2.41,4.27,1.05,0.795,広島,2010
上野弘文,13.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.5,6.12,0.0,1.0,0.571,広島,2010
永川勝浩,4.82,22.0,2.0,0.0,0.0,5.0,7.0,0.0,1.0,81.0,18.2,19.0,2.0,5.0,1.0,13.0,6.27,11.0,10.0,0.0,0.0,1.29,4.08,2.6,0.96,0.652,広島,2010
齊藤悠葵,5.2,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.4,123.0,27.2,24.0,2.0,16.0,1.0,13.0,4.23,17.0,16.0,0.0,0.0,1.45,4.96,0.81,1.05,0.641,広島,2010
高橋建,9.3,26.0,4.0,5.0,0.0,8.0,12.0,0.0,0.444,144.0,30.0,37.0,8.0,19.0,0.0,17.0,5.1,32.0,31.0,0.0,0.0,1.87,7.15,0.89,1.2,0.521,広島,2010
横山竜士,8.1,6.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,34.0,6.2,12.0,2.0,3.0,1.0,3.0,4.05,6.0,6.0,0.0,0.0,2.25,7.92,1.0,0.9,0.714,広島,2010
スタルツ,5.07,21.0,6.0,10.0,0.0,0.0,0.0,0.0,0.375,560.0,124.1,149.0,23.0,46.0,3.0,87.0,6.3,74.0,70.0,0.0,0.0,1.57,5.28,1.89,1.07,0.731,広島,2010
広池浩司,27.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,16.12,0.0,0.0,0.0,広島,2010
森跳二,8.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.1,8.0,0.0,2.0,0.0,2.0,5.4,3.0,3.0,0.0,0.0,3.0,3.72,1.0,1.2,0.7,広島,2010
中田廉,13.14,15.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,67.0,12.1,22.0,2.0,8.0,0.0,12.0,8.76,19.0,18.0,0.0,0.0,2.43,4.5,1.5,1.62,0.429,広島,2010
青木勇人,5.91,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,10.2,11.0,2.0,3.0,1.0,4.0,3.38,8.0,7.0,0.0,0.0,1.31,5.65,1.33,0.66,0.615,広島,2010
梅津智弘,5.89,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,18.1,22.0,1.0,6.0,1.0,9.0,4.42,12.0,12.0,0.0,0.0,1.53,3.99,1.5,0.82,0.607,広島,2010
小松剛,7.94,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.25,110.0,22.2,36.0,5.0,8.0,1.0,19.0,7.54,21.0,20.0,0.0,0.0,1.94,5.5,2.38,1.19,0.625,広島,2010
チューク,5.79,16.0,2.0,0.0,1.0,2.0,4.0,0.0,1.0,88.0,18.2,24.0,0.0,7.0,1.0,12.0,5.79,15.0,12.0,0.0,0.0,1.66,3.12,1.71,1.02,0.625,広島,2010
大島崇行,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.12,0.0,3.0,1.0,広島,2010
青木高広,3.27,76.0,2.0,4.0,0.0,20.0,22.0,0.0,0.333,231.0,55.0,50.0,4.0,21.0,3.0,39.0,6.38,21.0,20.0,0.0,0.0,1.29,3.63,1.86,1.09,0.771,広島,2010
岸本秀樹,6.75,27.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,114.0,24.0,24.0,1.0,17.0,0.0,27.0,10.13,20.0,18.0,0.0,0.0,1.71,3.29,1.59,1.83,0.575,広島,2010
林昌樹,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.1,0.0,0.0,0.0,0.0,5.0,19.29,0.0,0.0,0.0,0.0,0.0,-1.17,2.71,2.14,0.705,広島,2010
小島心二郎,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.12,0.0,0.5,0.8,広島,2010
今井啓介,5.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,7.0,1.0,2.0,0.0,5.0,9.0,3.0,3.0,0.0,0.0,1.8,4.92,2.5,1.4,0.75,広島,2010
相澤寿聡,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.12,0.0,1.0,1.0,広島,2010
伊東昂大,7.71,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.2,4.0,0.0,3.0,0.0,3.0,5.79,4.0,4.0,0.0,0.0,1.5,3.76,1.0,1.29,0.429,広島,2010
シュルツ,1.06,19.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,82.0,17.0,22.0,1.0,11.0,1.0,7.0,3.71,7.0,2.0,0.0,0.0,1.94,5.18,0.64,1.06,0.97,広島,2010
ジオ,2.72,18.0,3.0,7.0,0.0,0.0,0.0,0.0,0.3,417.0,99.1,82.0,5.0,34.0,7.0,88.0,7.97,33.0,30.0,0.0,0.0,1.17,3.18,2.59,1.23,0.788,広島,2010
ベイル,7.09,30.0,0.0,3.0,1.0,4.0,4.0,0.0,0.0,124.0,26.2,29.0,3.0,15.0,3.0,21.0,7.09,23.0,21.0,0.0,0.0,1.65,5.03,1.4,1.35,0.591,広島,2010
ソリアーノ,3.65,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,101.0,24.2,15.0,3.0,10.0,0.0,12.0,4.38,11.0,10.0,0.0,0.0,1.01,4.94,1.2,0.89,0.682,広島,2010
河内貴哉,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,3.12,3.0,0.0,0.5,広島,2010
