player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
上本崇司,0.091,59.0,13.0,11.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0,4.0,1.0,0.0,0.167,0.091,0.258,0.17,0.197,0.098,0.35,0.0,0.076,0.39,0.81,0.125,0.455,0.5,0.0,0.25,広島,2015
東出輝裕,0.247,91.0,282.0,247.0,61.0,0.0,6.0,15.0,8.0,0.0,69.0,2.0,1.0,13.0,3.0,22.0,19.0,3.0,0.293,0.279,0.572,20.35,0.386,0.202,2.62,0.032,0.046,19.97,2.57,0.25,0.081,0.44,0.0,0.59,広島,2015
小窪哲也,0.308,17.0,28.0,26.0,8.0,0.0,3.0,2.0,3.0,1.0,13.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.357,0.5,0.857,4.61,0.524,0.286,6.92,0.192,0.049,4.11,6.17,0.421,0.231,0.833,0.0,0.14,広島,2015
栗原健太,0.203,24.0,69.0,59.0,12.0,0.0,4.0,3.0,1.0,0.0,13.0,0.0,0.0,10.0,0.0,12.0,0.0,3.0,0.319,0.22,0.539,3.96,0.392,0.199,2.14,0.017,0.115,4.18,2.26,0.255,0.186,0.46,0.0,0.83,広島,2015
梵英心,0.0,7.0,12.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.25,0.0,0.25,-0.65,0.25,0.113,-1.6,0.0,0.25,-0.53,-1.3,0.0,0.333,0.273,3.0,0.73,広島,2015
堂林翔太,0.216,63.0,60.0,51.0,11.0,0.0,5.0,11.0,3.0,1.0,16.0,1.0,0.0,2.0,0.0,14.0,7.0,1.0,0.245,0.314,0.559,3.35,0.35,0.189,1.85,0.098,0.03,3.26,1.8,0.25,0.118,0.405,0.0,0.14,広島,2015
丸佳浩,0.306,125.0,566.0,432.0,132.0,39.0,97.0,109.0,22.0,0.0,271.0,10.0,10.0,130.0,3.0,130.0,0.0,5.0,0.468,0.627,1.096,124.18,0.677,0.368,10.61,0.322,0.163,121.08,10.35,0.352,0.623,1.283,15.92,1.0,広島,2015
岩本貴裕,0.143,10.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.25,0.143,0.393,-0.13,0.298,0.148,-0.5,0.0,0.107,-0.09,-0.35,0.2,0.143,0.286,0.0,0.5,広島,2015
グスマン,0.23,34.0,116.0,100.0,23.0,3.0,12.0,10.0,8.0,1.0,42.0,0.0,0.0,15.0,1.0,25.0,0.0,2.0,0.336,0.42,0.756,14.45,0.476,0.256,4.94,0.19,0.106,14.19,4.85,0.278,0.34,0.734,0.0,0.6,広島,2015
高橋大樹,0.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,-2.81,0.0,0.0,-0.56,-2.52,0.0,0.0,0.0,0.0,0.0,広島,2015
