player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
堂上直倫,0.213,74.0,56.0,47.0,10.0,0.0,6.0,3.0,0.0,0.0,10.0,0.0,0.0,3.0,2.0,9.0,2.0,2.0,0.278,0.213,0.491,2.58,0.349,0.178,1.62,0.0,0.065,3.38,2.12,0.238,0.064,0.385,0.0,0.33,中日,2009
荒木雅博,0.268,52.0,84.0,82.0,22.0,1.0,3.0,11.0,6.0,0.0,31.0,2.0,0.0,1.0,0.0,13.0,1.0,2.0,0.277,0.378,0.655,7.1,0.403,0.219,2.95,0.11,0.009,6.76,2.81,0.304,0.098,0.469,0.0,0.08,中日,2009
立浪和義,0.318,77.0,80.0,66.0,21.0,1.0,17.0,3.0,5.0,0.0,29.0,0.0,0.0,12.0,1.0,7.0,0.0,1.0,0.425,0.439,0.864,13.22,0.571,0.301,7.59,0.121,0.107,12.76,7.33,0.339,0.303,0.913,0.0,1.71,中日,2009
藤井淳志,0.241,96.0,162.0,145.0,35.0,3.0,30.0,21.0,8.0,0.0,52.0,0.0,0.0,12.0,0.0,36.0,0.0,1.0,0.29,0.359,0.649,16.04,0.41,0.22,3.73,0.117,0.049,17.36,4.04,0.288,0.2,0.577,0.0,0.33,中日,2009
和田一浩,0.298,79.0,234.0,218.0,65.0,5.0,26.0,16.0,8.0,0.0,88.0,0.0,1.0,14.0,2.0,40.0,0.0,9.0,0.346,0.404,0.75,28.16,0.481,0.257,4.69,0.106,0.048,27.16,4.53,0.347,0.174,0.648,1.67,0.35,中日,2009
井端弘和,0.236,100.0,376.0,326.0,77.0,1.0,18.0,30.0,9.0,0.0,89.0,2.0,0.0,38.0,4.0,51.0,8.0,13.0,0.323,0.273,0.596,27.59,0.414,0.214,2.74,0.037,0.087,27.75,2.75,0.27,0.147,0.489,0.0,0.75,中日,2009
李炳圭,0.218,28.0,107.0,101.0,22.0,3.0,8.0,14.0,3.0,0.0,34.0,0.0,0.0,5.0,0.0,33.0,1.0,4.0,0.255,0.337,0.591,7.09,0.367,0.199,2.28,0.119,0.037,7.37,2.37,0.288,0.168,0.47,0.0,0.15,中日,2009
平田良介,0.329,138.0,568.0,493.0,162.0,9.0,55.0,83.0,26.0,5.0,225.0,7.0,8.0,67.0,3.0,69.0,2.0,7.0,0.41,0.456,0.866,92.85,0.562,0.299,7.16,0.128,0.081,88.78,6.85,0.364,0.266,0.858,8.47,0.97,中日,2009
井上一樹,0.065,25.0,47.0,46.0,3.0,0.0,5.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,14.0,0.0,1.0,0.085,0.13,0.216,-2.1,0.129,0.071,-1.29,0.065,0.02,-1.75,-1.07,0.094,0.087,0.159,0.0,0.07,中日,2009
田中大輔,0.25,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.23,0.333,0.175,2.05,0.0,0.0,0.23,2.07,0.25,0.0,0.333,0.0,0.0,中日,2009
英智,0.211,53.0,24.0,19.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,0.286,0.211,0.496,1.19,0.356,0.181,1.69,0.0,0.075,1.28,1.82,0.222,0.053,0.375,0.0,0.25,中日,2009
新井良太,0.153,45.0,60.0,59.0,9.0,1.0,2.0,6.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,14.0,0.0,2.0,0.167,0.203,0.37,0.18,0.234,0.126,0.09,0.051,0.014,0.61,0.32,0.182,0.085,0.269,1.0,0.07,中日,2009
谷繁元信,0.277,30.0,52.0,47.0,13.0,1.0,4.0,4.0,2.0,0.0,18.0,0.0,0.0,3.0,0.0,9.0,2.0,0.0,0.32,0.383,0.703,6.02,0.448,0.24,4.52,0.106,0.043,5.85,4.39,0.308,0.17,0.618,0.0,0.33,中日,2009
野本圭,0.125,8.0,8.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.25,0.375,0.09,0.208,0.119,0.33,0.125,0.0,0.08,0.31,0.143,0.125,0.286,0.0,0.0,中日,2009
森野将彦,0.244,22.0,48.0,41.0,10.0,0.0,1.0,4.0,2.0,0.0,12.0,1.0,0.0,5.0,0.0,3.0,2.0,1.0,0.326,0.293,0.619,3.77,0.424,0.22,2.91,0.049,0.082,3.72,2.87,0.25,0.146,0.485,0.0,1.67,中日,2009
中川裕貴,0.19,13.0,21.0,21.0,4.0,1.0,2.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.19,0.381,0.571,1.49,0.317,0.181,2.37,0.19,0.0,1.59,2.53,0.2,0.19,0.471,0.0,0.0,中日,2009
谷哲也,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,-2.7,0.0,0.0,-0.27,-2.43,0.0,0.0,0.0,0.0,0.22,中日,2009
岩崎恭平,0.107,18.0,30.0,28.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.167,0.107,0.274,-0.73,0.202,0.102,-0.75,0.0,0.06,-0.44,-0.46,0.136,0.036,0.154,1.78,0.33,中日,2009
清水将海,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-2.7,0.0,0.0,-0.09,-2.43,0.0,0.0,0.0,0.0,0.0,中日,2009
西川明,0.25,3.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.4,0.25,0.65,0.54,0.483,0.243,4.86,0.0,0.15,0.55,4.95,0.5,0.25,0.667,0.0,0.5,中日,2009
ブランコ,0.248,96.0,359.0,311.0,77.0,24.0,65.0,44.0,10.0,0.0,159.0,1.0,2.0,40.0,5.0,84.0,0.0,5.0,0.34,0.511,0.851,54.52,0.51,0.281,6.06,0.264,0.092,55.95,6.22,0.257,0.395,0.854,3.69,0.48,中日,2009
小池正晃,0.268,73.0,150.0,127.0,34.0,5.0,21.0,12.0,8.0,1.0,59.0,0.0,0.0,12.0,3.0,32.0,8.0,6.0,0.345,0.465,0.81,19.09,0.5,0.271,4.82,0.197,0.077,18.39,4.64,0.296,0.291,0.747,0.0,0.38,中日,2009
岩崎達郎,0.1,36.0,24.0,20.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,0.182,0.1,0.282,-0.42,0.215,0.107,-0.54,0.0,0.082,-0.25,-0.32,0.105,0.1,0.211,1.5,0.67,中日,2009
