player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
田島慎二,7.22,30.0,0.0,4.0,15.0,1.0,1.0,0.0,0.0,134.0,28.2,30.0,4.0,18.0,2.0,13.0,4.08,23.0,23.0,0.0,0.0,1.67,5.81,0.72,1.08,0.587,中日,2019
谷元圭介,14.9,8.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,56.0,9.2,22.0,2.0,3.0,0.0,8.0,7.45,20.0,16.0,0.0,0.0,2.59,5.09,2.67,1.14,0.391,中日,2019
又吉克樹,6.53,40.0,2.0,5.0,0.0,9.0,11.0,0.0,0.286,187.0,41.1,54.0,6.0,17.0,1.0,28.0,6.1,30.0,30.0,0.0,0.0,1.72,4.96,1.65,1.09,0.636,中日,2019
柳裕也,5.23,10.0,2.0,5.0,0.0,0.0,0.0,1.0,0.286,237.0,53.1,59.0,2.0,18.0,2.0,42.0,7.09,34.0,31.0,1.0,0.0,1.44,3.16,2.33,1.13,0.623,中日,2019
松坂大輔,3.74,11.0,6.0,4.0,0.0,0.0,0.0,0.0,0.6,253.0,55.1,50.0,5.0,32.0,5.0,51.0,8.3,25.0,23.0,0.0,0.0,1.48,4.46,1.59,1.5,0.78,中日,2019
吉見一起,3.87,20.0,5.0,7.0,0.0,0.0,0.0,1.0,0.417,516.0,125.2,136.0,15.0,24.0,4.0,61.0,4.37,54.0,54.0,1.0,1.0,1.27,4.37,2.54,0.68,0.738,中日,2019
岡田俊哉,5.06,27.0,1.0,0.0,0.0,6.0,7.0,0.0,1.0,99.0,21.1,24.0,2.0,13.0,0.0,19.0,8.02,13.0,12.0,0.0,0.0,1.73,4.39,1.46,1.5,0.714,中日,2019
大野雄大,8.56,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,130.0,27.1,32.0,7.0,19.0,0.0,21.0,6.91,27.0,26.0,0.0,0.0,1.87,7.0,1.11,1.46,0.568,中日,2019
福谷浩司,5.0,29.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,114.0,27.0,31.0,5.0,7.0,0.0,28.0,9.33,16.0,15.0,0.0,0.0,1.41,4.23,4.0,1.3,0.697,中日,2019
佐藤優,2.08,42.0,1.0,2.0,5.0,10.0,11.0,0.0,0.333,184.0,43.1,27.0,2.0,23.0,3.0,51.0,10.59,15.0,10.0,0.0,0.0,1.15,3.17,2.22,1.71,0.843,中日,2019
梅津晃大,2.34,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.8,140.0,34.2,28.0,3.0,11.0,3.0,34.0,8.83,9.0,9.0,0.0,0.0,1.13,3.41,3.09,1.3,0.846,中日,2019
山井大介,4.04,10.0,3.0,6.0,0.0,0.0,0.0,1.0,0.333,259.0,62.1,55.0,12.0,21.0,1.0,43.0,6.21,28.0,28.0,1.0,0.0,1.22,5.3,2.05,1.03,0.754,中日,2019
阿知羅拓馬,4.85,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,13.0,12.0,2.0,5.0,0.0,8.0,5.54,7.0,7.0,0.0,0.0,1.31,5.04,1.6,1.0,0.667,中日,2019
祖父江大輔,3.14,51.0,2.0,2.0,0.0,17.0,19.0,0.0,0.5,208.0,48.2,45.0,5.0,19.0,0.0,36.0,6.66,19.0,17.0,0.0,0.0,1.32,4.15,1.89,1.13,0.797,中日,2019
福敬登,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.12,0.0,3.0,1.0,中日,2019
松葉貴大,10.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.2,5.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,6.5,0.0,1.13,0.625,中日,2019
石川翔,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,中日,2019
勝野昌慶,6.06,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.333,71.0,16.1,16.0,2.0,9.0,0.0,9.0,4.96,11.0,11.0,0.0,0.0,1.53,5.26,1.0,1.1,0.609,中日,2019
三ツ間卓也,11.12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.2,8.0,1.0,4.0,3.0,5.0,7.94,8.0,7.0,0.0,0.0,2.12,7.36,1.25,1.59,0.571,中日,2019
鈴木博志,4.41,53.0,4.0,6.0,4.0,12.0,16.0,0.0,0.4,219.0,49.0,46.0,7.0,27.0,1.0,42.0,7.71,28.0,24.0,0.0,0.0,1.49,4.92,1.56,1.41,0.746,中日,2019
笠原祥太郎,4.14,20.0,6.0,4.0,0.0,0.0,0.0,1.0,0.6,479.0,108.2,100.0,12.0,49.0,6.0,88.0,7.29,52.0,50.0,1.0,0.0,1.37,4.43,1.8,1.26,0.734,中日,2019
清水達也,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,0.0,2.0,0.0,2.0,9.0,2.0,2.0,0.0,0.0,2.5,4.12,1.0,2.0,0.6,中日,2019
藤嶋健人,3.66,19.0,3.0,1.0,0.0,0.0,0.0,0.0,0.75,307.0,71.1,71.0,8.0,27.0,0.0,40.0,5.05,29.0,29.0,0.0,0.0,1.37,4.59,1.48,0.94,0.767,中日,2019
ロドリゲス,2.3,26.0,0.0,3.0,1.0,9.0,9.0,0.0,0.0,116.0,27.1,22.0,1.0,14.0,1.0,26.0,8.56,9.0,7.0,0.0,0.0,1.32,3.23,1.86,1.46,0.833,中日,2019
山本拓実,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,2.0,0.0,3.0,13.5,0.0,0.0,0.0,0.0,1.5,3.12,1.5,2.5,1.0,中日,2019
小熊凌祐,6.23,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.429,190.0,43.1,51.0,7.0,10.0,0.0,37.0,7.68,35.0,30.0,0.0,0.0,1.41,4.2,3.7,1.08,0.574,中日,2019
伊藤準規,3.95,11.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,65.0,13.2,13.0,2.0,11.0,2.0,6.0,3.95,6.0,6.0,0.0,0.0,1.76,7.0,0.55,1.24,0.833,中日,2019
丸山泰資,8.25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,12.0,16.0,2.0,6.0,1.0,10.0,7.5,13.0,11.0,0.0,0.0,1.83,5.37,1.67,1.33,0.571,中日,2019
ロメロ,4.26,21.0,8.0,10.0,0.0,0.0,0.0,0.0,0.444,503.0,116.1,106.0,19.0,55.0,4.0,105.0,8.12,57.0,55.0,0.0,0.0,1.38,4.93,1.91,1.38,0.753,中日,2019
Ｒ．マルティネス,2.66,43.0,1.0,4.0,8.0,14.0,15.0,0.0,0.2,171.0,40.2,34.0,2.0,14.0,2.0,48.0,10.62,13.0,12.0,0.0,0.0,1.18,2.51,3.43,1.52,0.792,中日,2019
木下雄介,5.4,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.0,16.2,17.0,2.0,9.0,0.0,18.0,9.72,10.0,10.0,0.0,0.0,1.56,4.14,2.0,1.62,0.667,中日,2019
鈴木翔太,5.19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.2,11.0,1.0,6.0,2.0,3.0,3.12,5.0,5.0,0.0,0.0,1.96,6.7,0.5,1.04,0.778,中日,2019
浜田智博,40.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.2,5.0,2.0,0.0,0.0,2.0,27.0,3.0,3.0,0.0,0.0,7.5,36.12,0.0,3.0,0.667,中日,2019
濱田達郎,15.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,8.0,0.0,5.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,3.25,6.87,0.0,1.25,0.462,中日,2019
