player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
木村正太,3.38,25.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,118.0,29.1,23.0,2.0,12.0,0.0,23.0,7.06,13.0,11.0,0.0,0.0,1.19,3.56,1.92,1.19,0.727,巨人,2011
高木康成,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,4.5,0.0,0.0,0.0,0.0,1.0,2.12,3.13,0.5,1.0,巨人,2011
澤村拓一,4.64,49.0,1.0,6.0,0.0,24.0,25.0,0.0,0.143,238.0,52.1,55.0,4.0,27.0,3.0,54.0,9.29,29.0,27.0,0.0,0.0,1.57,3.6,2.0,1.55,0.716,巨人,2011
東野峻,3.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,3.0,1.0,0.0,1.0,2.0,3.6,2.0,2.0,0.0,0.0,0.6,5.52,2.09,0.4,0.667,巨人,2011
越智大祐,11.25,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,9.0,2.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.25,11.87,0.0,1.0,0.727,巨人,2011
内海哲也,4.17,15.0,5.0,5.0,0.0,0.0,0.0,1.0,0.5,358.0,82.0,95.0,11.0,19.0,3.0,56.0,6.15,38.0,38.0,1.0,0.0,1.39,4.23,2.95,0.91,0.745,巨人,2011
金刃憲人,3.92,24.0,2.0,4.0,0.0,0.0,1.0,0.0,0.333,243.0,57.1,59.0,6.0,12.0,3.0,40.0,6.28,29.0,25.0,0.0,0.0,1.24,3.87,3.33,0.91,0.721,巨人,2011
グライシンガー,4.15,9.0,1.0,5.0,0.0,0.0,0.0,0.0,0.167,212.0,47.2,52.0,2.0,18.0,2.0,33.0,6.23,22.0,22.0,0.0,0.0,1.47,3.54,1.83,1.07,0.714,巨人,2011
宮國椋丞,1.97,29.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,133.0,32.0,27.0,4.0,10.0,3.0,25.0,7.03,8.0,7.0,0.0,0.0,1.16,4.4,2.5,1.09,0.917,巨人,2011
西村健太朗,3.56,45.0,0.0,2.0,0.0,10.0,10.0,0.0,0.0,196.0,48.0,44.0,5.0,14.0,2.0,34.0,6.38,19.0,19.0,0.0,0.0,1.21,4.0,2.43,1.0,0.745,巨人,2011
ＭＩＣＨＥＡＬ,4.32,7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,35.0,8.1,9.0,0.0,1.0,2.0,3.0,3.24,4.0,4.0,0.0,0.0,1.2,3.48,3.0,0.48,0.667,巨人,2011
須永英輝,81.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,3.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,12.0,12.12,0.0,3.0,0.25,巨人,2011
朝井秀樹,2.01,10.0,4.0,1.0,0.0,1.0,1.0,0.0,0.8,191.0,49.1,39.0,2.0,9.0,0.0,35.0,6.39,15.0,11.0,0.0,0.0,0.97,2.78,3.89,0.89,0.804,巨人,2011
ロメロ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,4.12,1.0,2.0,1.0,巨人,2011
アルバラデホ,2.45,46.0,2.0,2.0,2.0,6.0,8.0,0.0,0.5,219.0,51.1,43.0,2.0,19.0,5.0,44.0,7.71,17.0,14.0,0.0,0.0,1.21,3.08,2.32,1.23,0.815,巨人,2011
トーレス,6.26,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.333,121.0,27.1,31.0,4.0,11.0,1.0,19.0,6.26,19.0,19.0,0.0,0.0,1.54,4.95,1.73,1.1,0.615,巨人,2011
野間口貴彦,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,2.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,2.79,2.0,1.0,1.0,巨人,2011
土本恭平,7.36,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,3.2,1.0,1.0,3.0,1.0,5.0,12.27,3.0,3.0,0.0,0.0,1.09,6.39,1.67,2.18,0.5,巨人,2011
山口鉄也,4.05,18.0,1.0,1.0,0.0,3.0,4.0,0.0,0.5,62.0,13.1,14.0,1.0,8.0,0.0,10.0,6.75,6.0,6.0,0.0,0.0,1.65,4.4,1.25,1.35,0.762,巨人,2011
