player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
吉川尚輝,0.253,92.0,355.0,316.0,80.0,4.0,29.0,51.0,16.0,3.0,114.0,4.0,11.0,19.0,5.0,61.0,13.0,5.0,0.304,0.361,0.665,35.71,0.424,0.227,3.71,0.108,0.051,35.44,3.68,0.286,0.19,0.592,5.87,0.31,巨人,2019
陽岱鋼,0.245,87.0,276.0,253.0,62.0,10.0,37.0,24.0,12.0,2.0,108.0,2.0,2.0,17.0,2.0,72.0,3.0,7.0,0.297,0.427,0.724,30.16,0.439,0.24,3.99,0.182,0.052,30.34,4.02,0.297,0.249,0.635,3.33,0.24,巨人,2019
中島宏之,0.148,43.0,65.0,54.0,8.0,1.0,5.0,5.0,4.0,0.0,15.0,0.0,1.0,9.0,1.0,21.0,0.0,1.0,0.277,0.278,0.555,4.53,0.37,0.194,2.55,0.13,0.129,5.09,2.86,0.212,0.315,0.553,1.0,0.43,巨人,2019
坂本勇人,0.345,109.0,502.0,441.0,152.0,18.0,67.0,87.0,27.0,2.0,237.0,5.0,9.0,61.0,0.0,83.0,0.0,4.0,0.424,0.537,0.962,97.67,0.603,0.325,8.85,0.193,0.08,91.65,8.3,0.394,0.34,1.013,12.0,0.73,巨人,2019
丸佳浩,0.292,143.0,631.0,535.0,156.0,27.0,89.0,82.0,26.0,1.0,265.0,5.0,12.0,86.0,3.0,125.0,0.0,15.0,0.388,0.495,0.884,102.49,0.553,0.299,6.82,0.204,0.097,102.12,6.79,0.331,0.378,0.905,16.62,0.69,巨人,2019
亀井善行,0.254,123.0,461.0,422.0,107.0,13.0,49.0,47.0,20.0,0.0,166.0,0.0,4.0,36.0,2.0,70.0,0.0,6.0,0.315,0.393,0.708,53.32,0.446,0.24,4.47,0.14,0.061,52.82,4.43,0.276,0.235,0.648,6.12,0.51,巨人,2019
阿部慎之助,0.247,95.0,223.0,198.0,49.0,11.0,46.0,22.0,6.0,0.0,88.0,0.0,0.0,21.0,2.0,55.0,1.0,6.0,0.324,0.444,0.769,27.68,0.472,0.257,4.76,0.197,0.077,28.14,4.84,0.284,0.303,0.716,0.0,0.38,巨人,2019
小林誠司,0.219,119.0,313.0,265.0,58.0,2.0,26.0,22.0,9.0,0.0,73.0,0.0,0.0,27.0,4.0,58.0,16.0,8.0,0.3,0.275,0.575,21.79,0.391,0.204,2.54,0.057,0.081,21.91,2.55,0.252,0.158,0.484,0.0,0.47,巨人,2019
岡本和真,0.309,143.0,616.0,540.0,167.0,33.0,100.0,82.0,26.0,0.0,292.0,1.0,2.0,72.0,4.0,120.0,0.0,11.0,0.394,0.541,0.935,110.81,0.575,0.313,7.77,0.231,0.085,107.43,7.53,0.346,0.367,0.958,3.77,0.6,巨人,2019
炭谷銀仁朗,0.262,58.0,138.0,126.0,33.0,6.0,26.0,17.0,4.0,0.0,55.0,0.0,0.0,7.0,2.0,28.0,2.0,4.0,0.309,0.437,0.745,16.13,0.454,0.248,4.36,0.175,0.047,16.37,4.42,0.284,0.23,0.66,0.0,0.25,巨人,2019
ビヤヌエバ,0.223,73.0,235.0,202.0,45.0,8.0,24.0,24.0,9.0,0.0,78.0,0.0,2.0,25.0,6.0,52.0,1.0,5.0,0.325,0.386,0.711,26.24,0.453,0.243,4.32,0.163,0.102,26.91,4.43,0.257,0.297,0.685,3.2,0.48,巨人,2019
石川慎吾,0.192,17.0,28.0,26.0,5.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.25,0.308,0.558,1.62,0.353,0.189,1.99,0.115,0.058,1.63,2.0,0.25,0.192,0.455,2.86,0.33,巨人,2019
岸田行倫,0.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.72,0.0,0.0,-2.76,0.0,0.0,-0.65,-2.51,0.0,0.0,0.0,0.0,0.0,巨人,2019
立岡宗一郎,0.231,42.0,60.0,52.0,12.0,0.0,5.0,10.0,0.0,0.0,12.0,0.0,4.0,7.0,1.0,11.0,0.0,2.0,0.333,0.231,0.564,4.89,0.41,0.208,3.15,0.0,0.103,5.01,3.22,0.293,0.212,0.571,0.0,0.64,巨人,2019
重信慎之介,0.281,60.0,185.0,167.0,47.0,2.0,13.0,24.0,7.0,5.0,70.0,4.0,6.0,11.0,0.0,38.0,6.0,1.0,0.324,0.419,0.743,22.83,0.464,0.251,4.67,0.138,0.043,22.3,4.56,0.336,0.216,0.664,3.0,0.29,巨人,2019
ゲレーロ,0.244,82.0,323.0,287.0,70.0,15.0,40.0,34.0,17.0,0.0,132.0,3.0,2.0,29.0,6.0,62.0,0.0,8.0,0.325,0.46,0.785,41.21,0.478,0.261,4.86,0.216,0.081,41.52,4.9,0.261,0.314,0.728,3.53,0.47,巨人,2019
大城卓三,0.265,83.0,202.0,185.0,49.0,4.0,17.0,19.0,12.0,0.0,73.0,1.0,0.0,15.0,0.0,46.0,2.0,3.0,0.32,0.395,0.715,22.75,0.452,0.243,4.33,0.13,0.055,21.77,4.14,0.328,0.205,0.621,0.0,0.33,巨人,2019
田中俊太,0.241,99.0,261.0,228.0,55.0,2.0,12.0,20.0,6.0,3.0,73.0,0.0,6.0,23.0,0.0,41.0,10.0,7.0,0.311,0.32,0.631,23.36,0.417,0.22,3.32,0.079,0.07,23.13,3.29,0.272,0.206,0.567,3.0,0.56,巨人,2019
北村拓己,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-2.7,0.0,0.0,-0.09,-2.43,0.0,0.0,0.0,0.0,0.5,巨人,2019
山本泰寛,0.255,38.0,120.0,102.0,26.0,0.0,3.0,15.0,4.0,1.0,32.0,0.0,2.0,13.0,2.0,19.0,3.0,2.0,0.35,0.314,0.664,12.57,0.455,0.236,4.19,0.059,0.096,12.27,4.09,0.302,0.206,0.628,0.0,0.68,巨人,2019
若林晃弘,0.056,17.0,19.0,18.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.105,0.056,0.161,-0.93,0.124,0.061,-1.48,0.0,0.05,-0.74,-1.18,0.083,0.056,0.118,6.88,0.17,巨人,2019
増田大輝,0.2,75.0,58.0,50.0,10.0,0.0,6.0,20.0,2.0,2.0,16.0,2.0,15.0,6.0,0.0,11.0,2.0,2.0,0.286,0.32,0.606,6.28,0.392,0.209,3.69,0.12,0.086,6.27,3.68,0.244,0.5,0.795,0.0,0.55,巨人,2019
田中貴也,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,巨人,2019
加藤脩平,0.0,5.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.0,0.0,-2.77,0.0,0.0,-0.28,-2.52,0.0,0.0,0.0,0.0,0.0,巨人,2019
マルティネス,0.18,19.0,66.0,61.0,11.0,2.0,5.0,7.0,4.0,0.0,21.0,0.0,1.0,5.0,0.0,27.0,0.0,0.0,0.242,0.344,0.587,5.23,0.357,0.195,2.82,0.164,0.062,5.42,2.93,0.281,0.262,0.54,1.33,0.19,巨人,2019
山下航汰,0.167,12.0,13.0,12.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.231,0.25,0.481,0.64,0.314,0.166,1.72,0.083,0.064,0.64,1.73,0.2,0.167,0.4,0.0,0.5,巨人,2019
