player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
奥村展征,0.22,32.0,46.0,41.0,9.0,1.0,4.0,6.0,1.0,0.0,13.0,0.0,0.0,3.0,0.0,10.0,1.0,0.0,0.267,0.317,0.584,3.7,0.372,0.199,2.94,0.098,0.047,4.13,3.28,0.25,0.171,0.5,0.0,0.3,ヤクルト,2019
山田哲人,0.315,140.0,637.0,524.0,165.0,34.0,89.0,130.0,30.0,4.0,305.0,4.0,33.0,106.0,4.0,119.0,0.0,8.0,0.432,0.582,1.014,134.21,0.626,0.34,9.69,0.267,0.117,129.72,9.36,0.35,0.525,1.197,33.49,0.89,ヤクルト,2019
大引啓次,0.35,47.0,136.0,123.0,43.0,5.0,15.0,15.0,5.0,0.0,63.0,2.0,0.0,10.0,0.0,30.0,3.0,3.0,0.398,0.512,0.911,22.68,0.569,0.307,6.96,0.163,0.049,21.45,6.58,0.418,0.228,0.835,0.0,0.33,ヤクルト,2019
西浦直亨,0.242,138.0,550.0,479.0,116.0,10.0,55.0,57.0,28.0,0.0,174.0,2.0,1.0,40.0,8.0,88.0,20.0,10.0,0.309,0.363,0.673,54.15,0.431,0.23,3.67,0.121,0.067,54.17,3.67,0.262,0.203,0.589,1.82,0.45,ヤクルト,2019
バレンティン,0.268,142.0,602.0,514.0,138.0,38.0,131.0,72.0,22.0,0.0,274.0,1.0,1.0,85.0,0.0,121.0,0.0,15.0,0.37,0.533,0.904,98.65,0.548,0.3,6.74,0.265,0.102,98.62,6.74,0.279,0.43,0.916,1.95,0.7,ヤクルト,2019
川端慎吾,0.259,97.0,334.0,297.0,77.0,3.0,31.0,22.0,9.0,1.0,97.0,0.0,1.0,32.0,3.0,37.0,1.0,11.0,0.336,0.327,0.663,32.3,0.445,0.233,3.74,0.067,0.077,31.98,3.71,0.286,0.178,0.576,1.5,0.86,ヤクルト,2019
中山翔太,0.289,35.0,100.0,97.0,28.0,5.0,14.0,11.0,4.0,0.0,47.0,0.0,0.0,3.0,0.0,25.0,0.0,2.0,0.31,0.485,0.795,13.72,0.472,0.261,5.22,0.196,0.021,13.45,5.11,0.343,0.227,0.704,0.0,0.12,ヤクルト,2019
塩見泰隆,0.04,16.0,26.0,25.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.077,0.08,0.157,-1.37,0.104,0.055,-1.54,0.04,0.037,-1.16,-1.31,0.056,0.08,0.125,1.6,0.14,ヤクルト,2019
荒木貴裕,0.218,62.0,109.0,87.0,19.0,3.0,21.0,12.0,3.0,0.0,31.0,0.0,3.0,13.0,4.0,27.0,3.0,2.0,0.34,0.356,0.696,12.24,0.458,0.242,4.41,0.138,0.121,13.08,4.71,0.258,0.322,0.729,3.0,0.48,ヤクルト,2019
青木宣親,0.327,127.0,567.0,495.0,162.0,10.0,67.0,85.0,37.0,3.0,235.0,4.0,3.0,51.0,19.0,48.0,0.0,13.0,0.409,0.475,0.884,93.63,0.567,0.303,7.18,0.147,0.082,88.71,6.8,0.346,0.248,0.869,4.62,1.06,ヤクルト,2019
西田明央,0.143,4.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.143,0.143,0.286,-0.1,0.19,0.1,-0.45,0.0,0.0,-0.06,-0.27,0.2,0.0,0.167,1.0,0.0,ヤクルト,2019
山崎晃大朗,0.184,23.0,47.0,38.0,7.0,0.0,0.0,7.0,0.0,1.0,9.0,1.0,1.0,6.0,0.0,12.0,3.0,1.0,0.295,0.237,0.532,2.6,0.374,0.192,1.95,0.053,0.111,2.8,2.1,0.241,0.211,0.455,0.0,0.5,ヤクルト,2019
松本直樹,0.0,6.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.52,0.0,0.0,-2.79,0.0,0.0,-0.47,-2.54,0.0,0.0,0.0,0.0,0.0,ヤクルト,2019
