player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
中尾輝,3.5,54.0,7.0,3.0,0.0,12.0,19.0,0.0,0.7,248.0,54.0,53.0,5.0,33.0,1.0,56.0,9.33,25.0,21.0,0.0,0.0,1.59,3.92,1.7,1.65,0.805,ヤクルト,2019
高梨裕稔,6.23,21.0,5.0,7.0,0.0,0.0,1.0,0.0,0.417,358.0,78.0,90.0,13.0,34.0,4.0,82.0,9.46,56.0,54.0,0.0,0.0,1.59,4.65,2.41,1.49,0.643,ヤクルト,2019
大下佑馬,3.09,25.0,2.0,1.0,0.0,5.0,7.0,0.0,0.667,171.0,43.2,31.0,6.0,9.0,3.0,35.0,7.21,17.0,15.0,0.0,0.0,0.92,4.13,3.89,1.01,0.757,ヤクルト,2019
原樹理,3.09,30.0,6.0,7.0,0.0,1.0,2.0,2.0,0.462,461.0,110.2,102.0,3.0,31.0,3.0,93.0,7.56,48.0,38.0,1.0,1.0,1.2,2.71,3.0,1.12,0.737,ヤクルト,2019
清水昇,7.27,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,124.0,26.0,33.0,7.0,13.0,0.0,24.0,8.31,25.0,21.0,0.0,0.0,1.77,6.27,1.85,1.42,0.641,ヤクルト,2019
寺島成輝,27.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,4.0,1.0,4.0,0.0,2.0,9.0,6.0,6.0,0.0,0.0,4.0,13.62,0.5,3.0,0.286,ヤクルト,2019
石川雅規,4.88,22.0,7.0,6.0,0.0,0.0,0.0,0.0,0.538,488.0,110.2,121.0,19.0,41.0,4.0,78.0,6.34,70.0,60.0,0.0,0.0,1.46,5.14,1.9,1.08,0.721,ヤクルト,2019
近藤一樹,3.64,74.0,7.0,4.0,2.0,35.0,42.0,0.0,0.636,334.0,76.2,74.0,8.0,31.0,2.0,75.0,8.8,37.0,31.0,0.0,0.0,1.37,3.73,2.42,1.38,0.768,ヤクルト,2019
蔵本治孝,9.24,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,12.2,26.0,3.0,3.0,1.0,9.0,6.39,13.0,13.0,0.0,0.0,2.29,5.73,3.0,0.95,0.63,ヤクルト,2019
星知弥,4.02,18.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,136.0,31.1,24.0,5.0,21.0,0.0,23.0,6.61,14.0,14.0,0.0,0.0,1.44,5.74,1.1,1.4,0.775,ヤクルト,2019
館山昌平,6.86,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,97.0,19.2,30.0,2.0,10.0,2.0,13.0,5.95,19.0,15.0,0.0,0.0,2.03,4.95,1.3,1.17,0.675,ヤクルト,2019
坂本光士郎,5.82,19.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,104.0,21.2,22.0,2.0,16.0,2.0,15.0,6.23,15.0,14.0,0.0,0.0,1.75,5.43,0.94,1.43,0.684,ヤクルト,2019
ブキャナン,4.03,28.0,10.0,11.0,0.0,0.0,0.0,2.0,0.476,751.0,174.1,186.0,17.0,53.0,10.0,95.0,4.9,85.0,78.0,1.0,1.0,1.37,4.31,1.79,0.85,0.737,ヤクルト,2019
小川泰弘,2.75,18.0,8.0,5.0,0.0,0.0,0.0,0.0,0.615,450.0,108.0,109.0,9.0,24.0,1.0,94.0,7.83,36.0,33.0,0.0,0.0,1.23,3.1,3.92,1.09,0.808,ヤクルト,2019
