player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
木佐貫洋,2.6,24.0,5.0,9.0,0.0,0.0,0.0,5.0,0.357,628.0,152.1,138.0,8.0,42.0,3.0,96.0,5.67,47.0,44.0,1.0,1.0,1.18,3.41,2.29,0.91,0.794,オリックス,2010
清水章夫,4.93,58.0,1.0,2.0,0.0,11.0,12.0,0.0,0.333,167.0,34.2,41.0,3.0,17.0,7.0,18.0,4.67,25.0,19.0,0.0,0.0,1.67,4.94,1.06,1.01,0.742,オリックス,2010
古川秀一,2.08,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.1,4.0,0.0,0.0,0.0,3.0,6.23,1.0,1.0,0.0,0.0,0.92,1.74,4.0,0.69,0.75,オリックス,2010
加藤大輔,3.91,20.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,103.0,25.1,17.0,3.0,11.0,2.0,15.0,5.33,14.0,11.0,0.0,0.0,1.11,5.01,1.36,1.03,0.704,オリックス,2010
平野佳寿,2.67,58.0,3.0,7.0,29.0,8.0,11.0,0.0,0.3,240.0,57.1,57.0,5.0,16.0,1.0,47.0,7.38,19.0,17.0,0.0,0.0,1.27,3.5,2.94,1.1,0.826,オリックス,2010
香月良太,5.18,52.0,1.0,2.0,0.0,10.0,11.0,0.0,0.333,176.0,40.0,42.0,2.0,15.0,2.0,21.0,4.73,23.0,23.0,0.0,0.0,1.43,3.92,1.4,0.9,0.632,オリックス,2010
岸田護,2.35,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.0,15.1,13.0,0.0,2.0,0.0,14.0,8.22,4.0,4.0,0.0,0.0,0.98,1.69,7.0,1.04,0.733,オリックス,2010
金子千尋,3.87,17.0,4.0,7.0,0.0,0.0,0.0,0.0,0.364,430.0,100.0,97.0,11.0,35.0,3.0,72.0,6.48,47.0,43.0,0.0,0.0,1.32,4.25,2.06,1.07,0.742,オリックス,2010
山本省吾,5.47,23.0,8.0,10.0,0.0,1.0,1.0,0.0,0.444,478.0,107.0,143.0,19.0,20.0,8.0,79.0,6.64,71.0,65.0,0.0,0.0,1.52,4.74,3.95,0.93,0.697,オリックス,2010
レスター,4.78,35.0,2.0,2.0,10.0,0.0,2.0,0.0,0.5,178.0,37.2,45.0,3.0,16.0,2.0,33.0,7.88,21.0,20.0,0.0,0.0,1.62,3.76,2.06,1.3,0.717,オリックス,2010
長谷川昌幸,4.3,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,129.0,29.1,30.0,3.0,15.0,1.0,15.0,4.6,16.0,14.0,0.0,0.0,1.53,5.06,1.0,1.02,0.744,オリックス,2010
伊原正樹,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.2,4.0,0.0,1.0,1.0,1.0,3.38,0.0,0.0,0.0,0.0,1.88,4.62,1.0,0.75,1.0,オリックス,2010
小松聖,10.8,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,3.1,6.0,1.0,3.0,0.0,1.0,2.7,4.0,4.0,0.0,0.0,2.7,9.12,0.33,1.2,0.625,オリックス,2010
小林賢司,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,7.12,0.5,3.0,1.0,オリックス,2010
本柳和也,16.88,6.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,41.0,8.0,14.0,2.0,5.0,0.0,2.0,2.25,15.0,15.0,0.0,0.0,2.38,7.75,0.4,0.88,0.235,オリックス,2010
比嘉幹貴,2.04,43.0,0.0,2.0,1.0,9.0,9.0,0.0,0.0,135.0,35.1,25.0,3.0,7.0,3.0,22.0,5.6,10.0,8.0,0.0,0.0,0.91,3.4,3.14,0.82,0.844,オリックス,2010
鴨志田貴司,27.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,3.0,0.0,1.0,9.0,3.0,3.0,0.0,0.0,4.0,10.12,0.33,4.0,0.25,オリックス,2010
阿南徹,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,9.0,8.0,1.0,1.0,0.0,8.0,8.0,4.0,4.0,0.0,0.0,1.0,3.12,8.0,1.0,0.625,オリックス,2010
光原逸裕,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,29.12,0.75,0.0,0.455,オリックス,2010
菊地原毅,10.0,18.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,51.0,9.0,16.0,2.0,7.0,0.0,7.0,7.0,12.0,10.0,0.0,0.0,2.56,6.79,1.0,1.56,0.619,オリックス,2010
吉野誠,3.05,40.0,2.0,1.0,0.0,7.0,9.0,0.0,0.667,87.0,20.2,19.0,2.0,7.0,1.0,12.0,5.23,7.0,7.0,0.0,0.0,1.26,4.23,1.71,0.92,0.8,オリックス,2010
中山慎也,6.75,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,14.2,21.0,3.0,4.0,2.0,10.0,6.14,12.0,11.0,0.0,0.0,1.7,5.64,2.5,0.95,0.667,オリックス,2010
山田修義,3.8,30.0,1.0,2.0,0.0,10.0,11.0,0.0,0.333,84.0,21.1,14.0,1.0,6.0,0.0,20.0,8.44,10.0,9.0,0.0,0.0,0.94,2.7,3.33,1.22,0.579,オリックス,2010
前田祐二,5.09,15.0,1.0,1.0,0.0,2.0,3.0,0.0,0.5,88.0,17.2,24.0,2.0,12.0,1.0,13.0,6.62,11.0,10.0,0.0,0.0,2.04,5.16,1.08,1.42,0.771,オリックス,2010
山崎正貴,20.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.1,3.0,0.0,2.0,0.0,1.0,6.75,3.0,3.0,0.0,0.0,3.75,6.12,0.5,2.25,0.4,オリックス,2010
西勇輝,3.6,25.0,10.0,13.0,0.0,0.0,0.0,0.0,0.435,679.0,162.1,162.0,15.0,36.0,6.0,119.0,6.6,66.0,65.0,0.0,0.0,1.22,3.59,3.31,0.95,0.735,オリックス,2010
西川雅人,20.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.1,4.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,3.75,7.62,0.0,0.75,0.5,オリックス,2010
近藤一樹,8.24,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,94.0,19.2,30.0,3.0,6.0,0.0,16.0,7.32,19.0,18.0,0.0,0.0,1.83,4.39,2.67,1.12,0.545,オリックス,2010
仁藤拓馬,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.12,0.0,0.0,0.333,オリックス,2010
梶本達哉,20.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.1,3.0,0.0,2.0,0.0,1.0,6.75,3.0,3.0,0.0,0.0,3.75,6.12,0.5,2.25,0.4,オリックス,2010
