player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
中島宏之,0.289,77.0,251.0,225.0,65.0,5.0,34.0,13.0,7.0,0.0,87.0,0.0,0.0,21.0,3.0,38.0,1.0,8.0,0.356,0.387,0.743,30.08,0.485,0.257,4.78,0.098,0.067,29.47,4.68,0.326,0.191,0.661,0.0,0.55,オリックス,2018
モヤ,0.244,64.0,255.0,242.0,59.0,10.0,35.0,24.0,7.0,0.0,96.0,0.0,0.0,10.0,2.0,59.0,0.0,7.0,0.278,0.397,0.675,24.66,0.411,0.224,3.49,0.153,0.035,25.36,3.58,0.282,0.194,0.568,0.0,0.17,オリックス,2018
白崎浩之,0.239,30.0,73.0,67.0,16.0,1.0,9.0,4.0,5.0,0.0,24.0,0.0,0.0,3.0,2.0,20.0,0.0,1.0,0.288,0.358,0.646,6.86,0.407,0.219,3.5,0.119,0.049,6.99,3.56,0.319,0.164,0.558,0.0,0.15,オリックス,2018
安達了一,0.219,140.0,514.0,465.0,102.0,3.0,41.0,44.0,12.0,3.0,129.0,5.0,20.0,25.0,3.0,64.0,16.0,8.0,0.261,0.277,0.538,33.81,0.354,0.187,2.3,0.058,0.042,35.86,2.44,0.236,0.144,0.457,5.22,0.39,オリックス,2018
福田周平,0.264,113.0,345.0,295.0,78.0,1.0,15.0,39.0,8.0,4.0,97.0,9.0,16.0,31.0,3.0,33.0,16.0,2.0,0.34,0.329,0.669,36.14,0.45,0.235,4.0,0.064,0.076,35.53,3.93,0.278,0.193,0.605,1.88,0.94,オリックス,2018
西野真弘,0.293,60.0,207.0,188.0,55.0,0.0,16.0,21.0,8.0,4.0,71.0,3.0,7.0,12.0,0.0,28.0,6.0,5.0,0.333,0.378,0.711,23.27,0.459,0.244,4.25,0.085,0.041,22.28,4.06,0.329,0.17,0.617,0.0,0.43,オリックス,2018
宗佑磨,0.233,74.0,289.0,266.0,62.0,5.0,22.0,28.0,16.0,3.0,99.0,2.0,3.0,15.0,3.0,53.0,4.0,1.0,0.281,0.372,0.653,28.37,0.405,0.219,3.61,0.139,0.048,28.15,3.59,0.268,0.199,0.57,3.75,0.28,オリックス,2018
後藤駿太,0.216,33.0,43.0,37.0,8.0,0.0,4.0,7.0,0.0,0.0,8.0,1.0,2.0,3.0,2.0,12.0,1.0,0.0,0.31,0.216,0.526,2.9,0.382,0.193,2.53,0.0,0.093,3.07,2.67,0.308,0.108,0.467,0.0,0.25,オリックス,2018
ロメロ,0.237,119.0,501.0,443.0,105.0,25.0,63.0,63.0,18.0,1.0,200.0,2.0,7.0,42.0,10.0,114.0,0.0,10.0,0.313,0.451,0.765,63.31,0.464,0.254,4.8,0.214,0.076,65.81,4.99,0.258,0.321,0.734,10.94,0.37,オリックス,2018
大城滉二,0.231,128.0,428.0,377.0,87.0,4.0,28.0,45.0,14.0,2.0,117.0,9.0,15.0,28.0,3.0,77.0,20.0,8.0,0.289,0.31,0.6,32.73,0.393,0.208,2.7,0.08,0.058,32.81,2.71,0.263,0.17,0.502,6.32,0.36,オリックス,2018
