player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
佐竹健太,15.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,8.0,3.0,2.0,0.0,1.0,2.25,8.0,7.0,0.0,0.0,2.5,13.87,0.5,0.75,0.429,楽天,2009
藤原紘通,6.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,2.2,4.0,0.0,4.0,0.0,1.0,3.38,2.0,2.0,0.0,0.0,3.0,6.87,0.25,1.88,0.75,楽天,2009
山村宏樹,4.5,21.0,1.0,1.0,0.0,5.0,6.0,0.0,0.5,92.0,22.0,20.0,1.0,7.0,2.0,15.0,6.14,11.0,11.0,0.0,0.0,1.23,3.57,2.14,1.0,0.643,楽天,2009
ラズナー,3.35,37.0,1.0,2.0,17.0,3.0,4.0,0.0,0.333,149.0,37.2,31.0,1.0,11.0,0.0,40.0,9.56,14.0,14.0,0.0,0.0,1.12,2.22,3.64,1.35,0.683,楽天,2009
田中将大,1.27,28.0,24.0,0.0,1.0,0.0,0.0,8.0,1.0,822.0,212.0,168.0,6.0,32.0,3.0,183.0,7.77,35.0,30.0,2.0,1.0,0.94,2.26,5.72,1.01,0.878,楽天,2009
長谷部康平,11.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.1,1.0,0.0,3.0,1.0,2.0,7.71,3.0,3.0,0.0,0.0,1.71,6.55,0.67,2.14,0.4,楽天,2009
岩隈久志,2.42,17.0,6.0,7.0,0.0,0.0,0.0,2.0,0.462,471.0,119.0,106.0,6.0,19.0,5.0,90.0,6.81,34.0,32.0,1.0,0.0,1.05,2.87,4.74,0.92,0.79,楽天,2009
有銘兼久,1.35,18.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,53.0,13.1,11.0,0.0,6.0,0.0,9.0,6.08,2.0,2.0,0.0,0.0,1.28,3.12,1.5,1.13,0.882,楽天,2009
片山博視,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,15.12,0.0,4.0,0.857,楽天,2009
永井怜,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,-2.88,3.5,3.0,0.7,楽天,2009
渡邉恒樹,14.73,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,3.2,11.0,2.0,0.0,1.0,1.0,2.45,6.0,6.0,0.0,0.0,3.0,10.48,0.0,0.27,0.6,楽天,2009
朝井秀樹,8.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.1,7.0,0.0,2.0,0.0,2.0,4.15,4.0,4.0,0.0,0.0,2.08,3.58,1.0,0.92,0.556,楽天,2009
青山浩二,1.85,52.0,4.0,1.0,0.0,26.0,30.0,0.0,0.8,200.0,48.2,35.0,2.0,21.0,4.0,37.0,6.84,11.0,10.0,0.0,0.0,1.15,3.55,1.76,1.19,0.862,楽天,2009
グウィン,3.56,47.0,3.0,4.0,4.0,4.0,7.0,0.0,0.429,211.0,48.0,37.0,4.0,29.0,5.0,44.0,8.25,20.0,19.0,0.0,0.0,1.38,4.18,1.52,1.52,0.776,楽天,2009
川井貴志,8.22,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,15.1,23.0,2.0,6.0,0.0,7.0,4.11,17.0,14.0,0.0,0.0,1.89,5.08,1.17,0.85,0.556,楽天,2009
松崎伸吾,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.1,4.0,0.0,1.0,0.0,3.0,5.06,0.0,0.0,0.0,0.0,0.94,2.56,3.0,0.75,1.0,楽天,2009
井上雄介,4.91,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.2,6.0,0.0,0.0,0.0,3.0,7.36,2.0,2.0,0.0,0.0,1.64,1.48,0.33,0.82,0.667,楽天,2009
チルダース,10.38,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.1,8.0,1.0,2.0,0.0,2.0,4.15,5.0,5.0,0.0,0.0,2.31,6.58,1.0,0.92,0.556,楽天,2009
