player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
太田光,0.219,55.0,112.0,96.0,21.0,1.0,6.0,10.0,2.0,0.0,26.0,0.0,1.0,7.0,1.0,23.0,8.0,2.0,0.279,0.271,0.55,7.27,0.369,0.193,2.31,0.052,0.06,7.43,2.36,0.25,0.135,0.455,1.0,0.3,楽天,2019
浅村栄斗,0.263,143.0,635.0,529.0,139.0,33.0,92.0,93.0,26.0,2.0,268.0,1.0,1.0,93.0,4.0,162.0,0.0,12.0,0.372,0.507,0.878,100.63,0.541,0.294,6.6,0.244,0.109,101.84,6.67,0.309,0.42,0.906,1.94,0.57,楽天,2019
茂木栄五郎,0.247,100.0,413.0,361.0,89.0,7.0,24.0,42.0,12.0,2.0,126.0,4.0,12.0,42.0,2.0,83.0,7.0,3.0,0.328,0.349,0.677,44.84,0.444,0.235,4.22,0.102,0.081,45.04,4.24,0.294,0.241,0.638,8.84,0.51,楽天,2019
藤田一也,0.266,90.0,289.0,248.0,66.0,4.0,16.0,19.0,10.0,1.0,90.0,3.0,0.0,18.0,4.0,15.0,17.0,4.0,0.324,0.363,0.686,29.47,0.444,0.236,3.83,0.097,0.057,29.46,3.82,0.25,0.157,0.577,0.0,1.2,楽天,2019
辰己涼介,0.229,124.0,369.0,314.0,72.0,4.0,25.0,42.0,12.0,2.0,100.0,3.0,13.0,39.0,4.0,101.0,10.0,4.0,0.32,0.318,0.639,35.85,0.426,0.224,3.71,0.089,0.091,36.46,3.77,0.308,0.245,0.614,6.12,0.39,楽天,2019
吉持亮汰,0.161,21.0,37.0,31.0,5.0,0.0,1.0,6.0,0.0,1.0,7.0,1.0,1.0,3.0,0.0,6.0,3.0,0.0,0.235,0.226,0.461,1.46,0.311,0.162,1.32,0.065,0.074,1.65,1.49,0.179,0.161,0.37,0.0,0.5,楽天,2019
今江年晶,0.276,127.0,465.0,421.0,116.0,10.0,49.0,44.0,17.0,2.0,167.0,3.0,0.0,32.0,7.0,76.0,0.0,19.0,0.334,0.397,0.731,50.76,0.466,0.249,4.14,0.121,0.059,50.46,4.12,0.313,0.19,0.621,0.0,0.42,楽天,2019
オコエ瑠偉,0.198,44.0,117.0,111.0,22.0,2.0,6.0,13.0,7.0,1.0,37.0,3.0,2.0,2.0,1.0,23.0,3.0,3.0,0.219,0.333,0.553,6.01,0.33,0.182,1.66,0.135,0.021,6.2,1.71,0.225,0.144,0.411,2.0,0.09,楽天,2019
岩見雅紀,0.0,12.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,-3.17,0.0,0.0,-3.3,0.0,0.0,-3.01,-3.13,0.0,0.0,0.0,0.0,0.0,楽天,2019
田中和基,0.265,105.0,465.0,423.0,112.0,18.0,45.0,67.0,11.0,1.0,179.0,6.0,21.0,37.0,0.0,101.0,4.0,4.0,0.323,0.423,0.746,60.31,0.464,0.251,5.0,0.158,0.058,60.57,5.02,0.304,0.281,0.72,19.38,0.37,楽天,2019
渡辺直人,0.208,69.0,111.0,96.0,20.0,2.0,12.0,12.0,3.0,3.0,35.0,0.0,0.0,11.0,2.0,19.0,2.0,1.0,0.303,0.365,0.667,11.18,0.424,0.227,3.82,0.156,0.094,11.3,3.86,0.234,0.271,0.623,0.0,0.58,楽天,2019
岡島豪郎,0.19,108.0,241.0,216.0,41.0,3.0,15.0,16.0,10.0,1.0,62.0,1.0,1.0,22.0,0.0,54.0,3.0,4.0,0.265,0.287,0.552,15.28,0.36,0.191,2.25,0.097,0.075,15.77,2.33,0.235,0.199,0.467,1.5,0.41,楽天,2019
山下斐紹,0.198,43.0,104.0,96.0,19.0,2.0,9.0,10.0,3.0,0.0,28.0,0.0,0.0,5.0,0.0,22.0,1.0,2.0,0.233,0.292,0.525,5.71,0.33,0.178,1.88,0.094,0.035,6.67,2.2,0.227,0.146,0.418,0.0,0.23,楽天,2019
銀次,0.276,139.0,552.0,492.0,136.0,5.0,48.0,45.0,16.0,5.0,177.0,1.0,1.0,48.0,4.0,47.0,6.0,7.0,0.344,0.36,0.704,63.56,0.464,0.245,4.61,0.083,0.068,62.16,4.51,0.292,0.181,0.629,1.67,1.02,楽天,2019
山﨑剛,0.232,33.0,84.0,82.0,19.0,0.0,7.0,11.0,3.0,3.0,28.0,1.0,4.0,1.0,0.0,13.0,1.0,2.0,0.241,0.341,0.582,6.22,0.355,0.194,2.51,0.11,0.009,6.05,2.44,0.271,0.159,0.485,0.0,0.08,楽天,2019
島内宏明,0.292,103.0,453.0,394.0,115.0,11.0,53.0,53.0,16.0,3.0,170.0,5.0,11.0,47.0,6.0,45.0,3.0,10.0,0.373,0.431,0.805,64.3,0.517,0.276,5.79,0.14,0.081,63.44,5.71,0.302,0.274,0.779,11.0,1.04,楽天,2019
内田靖人,0.198,58.0,193.0,177.0,35.0,12.0,25.0,16.0,6.0,0.0,77.0,1.0,0.0,14.0,1.0,66.0,0.0,4.0,0.259,0.435,0.694,18.94,0.404,0.225,3.46,0.237,0.061,20.46,3.73,0.23,0.311,0.619,0.0,0.21,楽天,2019
嶋基宏,0.206,113.0,361.0,315.0,65.0,0.0,21.0,21.0,12.0,1.0,79.0,3.0,2.0,30.0,1.0,89.0,15.0,3.0,0.277,0.251,0.528,21.46,0.361,0.188,2.14,0.044,0.071,21.81,2.17,0.27,0.137,0.426,0.0,0.34,楽天,2019
ウィーラー,0.269,106.0,413.0,368.0,99.0,15.0,58.0,36.0,15.0,0.0,159.0,1.0,3.0,33.0,7.0,91.0,0.0,13.0,0.337,0.432,0.769,51.79,0.481,0.259,4.86,0.163,0.068,52.55,4.93,0.315,0.258,0.71,5.0,0.36,楽天,2019
足立祐一,0.111,20.0,20.0,18.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.158,0.111,0.269,-0.59,0.195,0.099,-0.89,0.0,0.047,-0.46,-0.69,0.133,0.056,0.176,0.0,0.25,楽天,2019
下水流昂,0.25,50.0,101.0,88.0,22.0,2.0,6.0,12.0,2.0,0.0,30.0,1.0,0.0,10.0,1.0,28.0,2.0,1.0,0.333,0.341,0.674,10.18,0.447,0.235,3.93,0.091,0.083,10.29,3.97,0.333,0.193,0.588,0.0,0.36,楽天,2019
渡邊佳明,0.225,77.0,245.0,218.0,49.0,1.0,26.0,15.0,8.0,1.0,62.0,0.0,0.0,14.0,1.0,40.0,11.0,5.0,0.274,0.284,0.558,16.02,0.368,0.194,2.33,0.06,0.049,16.18,2.35,0.254,0.124,0.443,0.0,0.35,楽天,2019
橋本到,0.0,11.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.1,0.0,0.1,-0.44,0.1,0.045,-1.33,0.0,0.1,-0.31,-0.93,0.0,0.222,0.222,0.0,0.33,楽天,2019
小郷裕哉,0.172,22.0,34.0,29.0,5.0,1.0,4.0,7.0,2.0,0.0,10.0,0.0,0.0,4.0,0.0,11.0,1.0,0.0,0.273,0.345,0.618,2.93,0.388,0.209,3.16,0.172,0.1,3.03,3.27,0.222,0.31,0.583,0.0,0.36,楽天,2019
和田恋,0.252,31.0,113.0,107.0,27.0,2.0,11.0,7.0,4.0,1.0,39.0,0.0,0.0,3.0,1.0,32.0,1.0,4.0,0.277,0.364,0.641,9.47,0.398,0.216,2.97,0.112,0.024,9.63,3.02,0.333,0.14,0.512,0.0,0.09,楽天,2019
堀内謙伍,0.174,12.0,24.0,23.0,4.0,0.0,2.0,3.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.208,0.261,0.469,1.26,0.295,0.159,1.79,0.087,0.034,1.34,1.9,0.182,0.174,0.421,0.0,1.0,楽天,2019
村林一輝,0.114,28.0,49.0,44.0,5.0,0.0,2.0,3.0,1.0,0.0,6.0,1.0,0.0,3.0,0.0,12.0,2.0,2.0,0.17,0.136,0.307,-1.15,0.216,0.111,-0.71,0.023,0.057,-0.85,-0.52,0.147,0.068,0.19,0.0,0.25,楽天,2019
西巻賢二,0.247,25.0,82.0,77.0,19.0,0.0,3.0,4.0,3.0,0.0,22.0,0.0,0.0,3.0,0.0,18.0,2.0,1.0,0.275,0.286,0.561,5.68,0.37,0.195,2.51,0.039,0.028,5.53,2.45,0.311,0.078,0.424,0.0,0.17,楽天,2019
ブラッシュ,0.261,128.0,527.0,426.0,111.0,33.0,95.0,66.0,20.0,0.0,230.0,3.0,2.0,81.0,17.0,157.0,0.0,7.0,0.397,0.54,0.936,91.91,0.577,0.313,7.57,0.279,0.136,92.37,7.6,0.326,0.467,1.006,3.77,0.52,楽天,2019
石原彪,0.2,4.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.2,0.2,0.4,0.29,0.267,0.14,1.96,0.0,0.0,0.3,2.03,0.333,0.2,0.5,0.0,0.0,楽天,2019
フェルナンド,0.188,11.0,16.0,16.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.188,0.188,0.375,0.22,0.25,0.131,0.46,0.0,0.0,0.29,0.6,0.273,0.0,0.231,0.0,0.0,楽天,2019
下妻貴寛,0.1,8.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.1,0.1,0.2,-0.38,0.133,0.07,-1.04,0.0,0.0,-0.31,-0.84,0.167,0.0,0.111,0.0,0.0,楽天,2019
