player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
高橋信二,0.242,70.0,272.0,244.0,59.0,3.0,31.0,21.0,6.0,0.0,74.0,0.0,0.0,23.0,5.0,34.0,0.0,4.0,0.32,0.303,0.623,24.59,0.421,0.22,3.51,0.061,0.078,24.67,3.52,0.271,0.156,0.54,0.0,0.68,日本ハム,2010
田中賢介,0.295,67.0,124.0,105.0,31.0,0.0,8.0,12.0,3.0,0.0,34.0,1.0,0.0,18.0,0.0,14.0,1.0,0.0,0.398,0.324,0.722,15.61,0.506,0.26,5.55,0.029,0.103,15.14,5.38,0.337,0.19,0.68,3.38,1.29,日本ハム,2010
飯山裕志,0.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.42,0.0,0.0,-2.81,0.0,0.0,-0.38,-2.57,0.0,0.0,0.0,0.0,0.0,日本ハム,2010
小谷野栄一,0.296,84.0,274.0,243.0,72.0,4.0,29.0,22.0,14.0,0.0,98.0,1.0,0.0,22.0,3.0,40.0,5.0,4.0,0.361,0.403,0.764,35.63,0.495,0.263,5.29,0.107,0.064,34.31,5.09,0.332,0.193,0.693,0.0,0.55,日本ハム,2010
中田翔,0.265,140.0,599.0,540.0,143.0,25.0,106.0,61.0,32.0,0.0,250.0,1.0,0.0,43.0,3.0,81.0,0.0,24.0,0.316,0.463,0.778,73.92,0.47,0.258,4.59,0.198,0.051,76.82,4.77,0.264,0.276,0.699,0.0,0.53,日本ハム,2010
坪井智哉,0.234,36.0,86.0,77.0,18.0,0.0,9.0,7.0,3.0,1.0,23.0,0.0,1.0,4.0,3.0,19.0,2.0,0.0,0.298,0.299,0.596,7.49,0.397,0.209,3.32,0.065,0.064,7.38,3.27,0.3,0.13,0.525,0.0,0.21,日本ハム,2010
金子誠,0.143,17.0,23.0,21.0,3.0,0.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.174,0.143,0.317,-0.29,0.222,0.114,-0.4,0.0,0.031,0.21,0.28,0.2,0.0,0.158,0.0,0.14,日本ハム,2010
二岡智宏,0.071,36.0,45.0,42.0,3.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,16.0,0.0,1.0,0.111,0.095,0.206,-1.9,0.143,0.074,-1.25,0.024,0.04,-1.24,-0.82,0.111,0.071,0.15,0.0,0.13,日本ハム,2010
陽岱鋼,0.293,130.0,555.0,495.0,145.0,14.0,61.0,66.0,24.0,1.0,213.0,6.0,5.0,42.0,10.0,121.0,7.0,10.0,0.359,0.43,0.79,74.6,0.503,0.269,5.39,0.137,0.067,72.53,5.24,0.356,0.22,0.721,7.37,0.35,日本ハム,2010
糸井嘉男,0.304,134.0,597.0,510.0,155.0,9.0,48.0,72.0,21.0,3.0,209.0,9.0,22.0,75.0,11.0,86.0,0.0,9.0,0.404,0.41,0.813,89.64,0.54,0.284,6.47,0.106,0.1,86.74,6.26,0.351,0.278,0.826,12.77,0.87,日本ハム,2010
大野奨太,0.221,83.0,183.0,154.0,34.0,3.0,13.0,13.0,5.0,0.0,48.0,1.0,0.0,16.0,4.0,30.0,8.0,1.0,0.309,0.312,0.62,16.05,0.412,0.217,3.31,0.091,0.088,16.68,3.44,0.238,0.188,0.549,0.0,0.53,日本ハム,2010
