player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
石井裕也,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,2.0,0.0,0.556,日本ハム,2018
加藤貴之,4.53,26.0,5.0,8.0,0.0,3.0,3.0,0.0,0.385,489.0,113.1,127.0,9.0,28.0,4.0,82.0,6.51,61.0,57.0,0.0,0.0,1.37,3.55,2.93,0.97,0.68,日本ハム,2018
上沢直之,3.16,25.0,11.0,6.0,0.0,0.0,0.0,4.0,0.647,670.0,165.1,146.0,15.0,38.0,5.0,151.0,8.22,62.0,58.0,3.0,1.0,1.11,3.23,3.97,1.14,0.753,日本ハム,2018
有原航平,4.55,20.0,8.0,5.0,2.0,1.0,1.0,1.0,0.615,471.0,110.2,124.0,17.0,15.0,5.0,87.0,7.08,60.0,56.0,0.0,0.0,1.26,4.09,5.8,0.92,0.693,日本ハム,2018
浦野博司,2.16,36.0,2.0,2.0,7.0,9.0,11.0,0.0,0.5,167.0,41.2,33.0,3.0,9.0,0.0,44.0,9.5,11.0,10.0,0.0,0.0,1.01,2.45,4.89,1.27,0.821,日本ハム,2018
トンキン,3.71,53.0,4.0,4.0,12.0,20.0,24.0,0.0,0.5,226.0,51.0,45.0,2.0,23.0,7.0,33.0,5.82,24.0,21.0,0.0,0.0,1.33,3.98,1.43,1.1,0.74,日本ハム,2018
上原健太,3.13,10.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,158.0,37.1,34.0,3.0,11.0,1.0,24.0,5.79,15.0,13.0,0.0,0.0,1.21,3.84,2.18,0.94,0.767,日本ハム,2018
宮西尚生,1.8,55.0,4.0,3.0,0.0,37.0,41.0,0.0,0.571,186.0,45.0,29.0,1.0,20.0,5.0,39.0,7.8,11.0,9.0,0.0,0.0,1.09,3.14,1.95,1.31,0.849,日本ハム,2018
マルティネス,3.51,25.0,10.0,11.0,0.0,0.0,0.0,3.0,0.476,683.0,161.2,168.0,16.0,40.0,6.0,93.0,5.18,69.0,63.0,0.0,0.0,1.29,4.05,2.33,0.82,0.763,日本ハム,2018
新垣勇人,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,4.0,0.0,1.0,0.0,1.0,4.5,2.0,2.0,0.0,0.0,2.5,3.62,1.0,1.0,0.6,日本ハム,2018
井口和朋,2.48,31.0,1.0,1.0,1.0,7.0,8.0,0.0,0.5,129.0,32.2,26.0,0.0,9.0,0.0,28.0,7.71,11.0,9.0,0.0,0.0,1.07,2.05,3.11,1.13,0.743,日本ハム,2018
鍵谷陽平,4.28,28.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,128.0,27.1,33.0,2.0,12.0,1.0,22.0,7.24,14.0,13.0,0.0,0.0,1.65,3.89,1.83,1.24,0.75,日本ハム,2018
村田透,3.27,18.0,6.0,3.0,0.0,0.0,1.0,0.0,0.667,319.0,77.0,70.0,5.0,18.0,5.0,45.0,5.26,32.0,28.0,0.0,0.0,1.14,3.69,2.5,0.82,0.739,日本ハム,2018
堀瑞輝,5.86,10.0,2.0,3.0,1.0,1.0,1.0,0.0,0.4,154.0,35.1,33.0,9.0,17.0,3.0,28.0,7.13,23.0,23.0,0.0,0.0,1.42,6.54,1.65,1.27,0.682,日本ハム,2018
西村天裕,3.52,26.0,2.0,2.0,1.0,8.0,10.0,0.0,0.5,102.0,23.0,21.0,1.0,12.0,2.0,25.0,9.78,9.0,9.0,0.0,0.0,1.43,3.08,2.08,1.61,0.765,日本ハム,2018
中村勝,4.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,10.0,9.0,2.0,9.0,1.0,4.0,3.6,5.0,5.0,0.0,0.0,1.8,7.92,0.44,1.3,0.824,日本ハム,2018
高梨裕稔,4.5,18.0,5.0,7.0,0.0,0.0,0.0,1.0,0.417,459.0,110.0,110.0,21.0,28.0,3.0,78.0,6.38,61.0,55.0,0.0,0.0,1.25,5.0,2.79,0.96,0.717,日本ハム,2018
ロドリゲス,5.26,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.6,165.0,37.2,41.0,0.0,12.0,3.0,23.0,5.5,23.0,22.0,0.0,0.0,1.41,3.09,1.92,0.93,0.607,日本ハム,2018
白村明弘,9.64,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.2,8.0,1.0,1.0,0.0,4.0,7.71,6.0,5.0,0.0,0.0,1.93,4.83,4.0,1.07,0.5,日本ハム,2018
田中瑛斗,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,1.0,4.5,2.0,2.0,0.0,0.0,1.5,3.62,1.0,1.0,0.333,日本ハム,2018
田中豊樹,11.74,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7.2,11.0,1.0,5.0,0.0,8.0,9.39,10.0,10.0,0.0,0.0,2.09,4.69,1.6,1.7,0.4,日本ハム,2018
公文克彦,2.17,57.0,2.0,0.0,0.0,11.0,13.0,0.0,1.0,226.0,54.0,51.0,3.0,14.0,1.0,52.0,8.67,15.0,13.0,0.0,0.0,1.2,2.58,3.71,1.22,0.841,日本ハム,2018
鈴木遼太郎,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,3.0,13.5,0.0,0.0,0.0,0.0,1.5,1.62,3.0,2.0,1.0,日本ハム,2018
石川直也,2.59,52.0,1.0,2.0,19.0,18.0,19.0,0.0,0.333,204.0,48.2,44.0,4.0,17.0,0.0,53.0,9.8,16.0,14.0,0.0,0.0,1.25,3.0,3.12,1.44,0.825,日本ハム,2018
宮台康平,3.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.2,4.0,0.0,4.0,2.0,3.0,5.79,2.0,2.0,0.0,0.0,1.71,5.69,0.75,1.5,0.8,日本ハム,2018
立田将太,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,1.0,0.0,日本ハム,2018
玉井大翔,4.13,40.0,2.0,3.0,0.0,2.0,4.0,0.0,0.4,209.0,48.0,48.0,5.0,13.0,7.0,40.0,7.5,24.0,22.0,0.0,0.0,1.27,4.0,3.08,1.1,0.73,日本ハム,2018
藤岡貴裕,6.52,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,9.2,12.0,0.0,8.0,0.0,6.0,5.59,7.0,7.0,0.0,0.0,2.07,4.05,0.75,1.45,0.65,日本ハム,2018
