player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
髙田知季,0.188,74.0,153.0,133.0,25.0,2.0,15.0,13.0,3.0,2.0,38.0,0.0,2.0,12.0,2.0,36.0,6.0,2.0,0.265,0.286,0.551,10.25,0.361,0.191,2.39,0.098,0.077,10.73,2.5,0.228,0.203,0.491,2.0,0.33,ソフトバンク,2017
内川聖一,0.242,71.0,296.0,281.0,68.0,8.0,30.0,27.0,11.0,0.0,103.0,1.0,1.0,9.0,3.0,32.0,0.0,6.0,0.27,0.367,0.637,26.31,0.392,0.213,3.19,0.125,0.028,27.34,3.31,0.246,0.157,0.523,1.78,0.28,ソフトバンク,2017
今宮健太,0.266,99.0,405.0,354.0,94.0,11.0,45.0,45.0,18.0,1.0,147.0,4.0,5.0,25.0,2.0,60.0,22.0,5.0,0.316,0.415,0.731,46.84,0.454,0.246,4.32,0.15,0.05,46.35,4.27,0.27,0.223,0.651,6.88,0.42,ソフトバンク,2017
松田宣浩,0.248,143.0,580.0,517.0,128.0,32.0,82.0,72.0,21.0,3.0,251.0,3.0,3.0,56.0,4.0,113.0,0.0,12.0,0.324,0.485,0.81,79.63,0.486,0.267,5.28,0.238,0.077,80.7,5.35,0.256,0.346,0.77,5.49,0.5,ソフトバンク,2017
川島慶三,0.268,91.0,152.0,142.0,38.0,3.0,16.0,17.0,5.0,0.0,52.0,0.0,2.0,7.0,0.0,31.0,0.0,2.0,0.296,0.366,0.662,15.76,0.418,0.225,3.9,0.099,0.028,16.42,4.07,0.315,0.162,0.575,2.4,0.23,ソフトバンク,2017
吉村裕基,0.176,8.0,19.0,17.0,3.0,2.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,0.263,0.529,0.793,2.13,0.44,0.251,3.84,0.353,0.087,2.37,4.27,0.125,0.412,0.733,0.0,0.14,ソフトバンク,2017
中村晃,0.292,136.0,580.0,506.0,148.0,14.0,57.0,57.0,28.0,1.0,220.0,1.0,1.0,60.0,5.0,68.0,3.0,5.0,0.369,0.435,0.804,84.6,0.514,0.275,6.12,0.142,0.077,83.19,6.02,0.309,0.261,0.783,1.87,0.88,ソフトバンク,2017
明石健志,0.282,45.0,115.0,103.0,29.0,1.0,12.0,16.0,5.0,3.0,43.0,1.0,2.0,11.0,1.0,21.0,0.0,0.0,0.357,0.417,0.774,16.11,0.496,0.265,5.8,0.136,0.075,15.36,5.53,0.346,0.252,0.747,1.33,0.52,ソフトバンク,2017
柳田悠岐,0.352,130.0,550.0,475.0,167.0,36.0,102.0,95.0,29.0,5.0,314.0,7.0,21.0,62.0,8.0,105.0,0.0,8.0,0.431,0.661,1.092,126.52,0.651,0.359,10.41,0.309,0.079,121.73,10.02,0.386,0.469,1.232,26.53,0.59,ソフトバンク,2017
髙谷裕亮,0.173,73.0,57.0,52.0,9.0,1.0,4.0,5.0,1.0,0.0,13.0,0.0,0.0,1.0,1.0,11.0,3.0,1.0,0.204,0.25,0.454,1.86,0.287,0.154,1.07,0.077,0.031,2.13,1.22,0.186,0.096,0.341,0.0,0.09,ソフトバンク,2017
斐紹,0.5,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.46,0.667,0.35,12.3,0.0,0.0,0.41,11.07,0.5,0.0,1.0,0.0,0.0,ソフトバンク,2017
城所龍磨,0.167,41.0,26.0,24.0,4.0,1.0,2.0,8.0,1.0,0.0,8.0,1.0,3.0,1.0,0.0,9.0,1.0,0.0,0.2,0.333,0.533,1.7,0.311,0.173,2.08,0.167,0.033,1.89,2.32,0.2,0.292,0.524,1.5,0.11,ソフトバンク,2017
長谷川勇也,0.287,55.0,112.0,101.0,29.0,5.0,20.0,15.0,6.0,0.0,50.0,0.0,0.0,9.0,1.0,18.0,0.0,3.0,0.348,0.495,0.843,16.7,0.513,0.28,5.93,0.208,0.061,16.29,5.79,0.304,0.297,0.8,0.0,0.5,ソフトバンク,2017
ジェンセン,0.083,6.0,14.0,12.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.214,0.333,0.548,0.83,0.325,0.18,2.05,0.25,0.131,1.06,2.6,0.0,0.417,0.545,0.0,0.22,ソフトバンク,2017
栗原陵矢,0.111,11.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.111,0.111,0.222,-0.32,0.148,0.078,-1.08,0.0,0.0,-0.25,-0.84,0.2,0.0,0.125,0.0,0.0,ソフトバンク,2017
