player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
栗山巧,0.256,114.0,363.0,305.0,78.0,8.0,52.0,32.0,18.0,1.0,122.0,0.0,1.0,52.0,3.0,78.0,0.0,5.0,0.366,0.4,0.766,48.02,0.5,0.265,5.52,0.144,0.111,47.93,5.51,0.315,0.318,0.767,1.78,0.67,西武,2010
銀仁朗,0.218,122.0,365.0,317.0,69.0,2.0,22.0,20.0,7.0,1.0,84.0,1.0,4.0,11.0,1.0,79.0,33.0,6.0,0.244,0.265,0.509,18.93,0.332,0.176,1.76,0.047,0.026,20.2,1.87,0.246,0.091,0.388,2.67,0.14,西武,2010
中島裕之,0.311,136.0,567.0,499.0,155.0,13.0,74.0,69.0,29.0,1.0,225.0,6.0,7.0,52.0,9.0,76.0,1.0,10.0,0.382,0.451,0.833,85.44,0.532,0.284,6.29,0.14,0.071,83.44,6.14,0.341,0.246,0.797,9.1,0.68,西武,2010
美沢将,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,西武,2010
石井義人,0.105,12.0,20.0,19.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.15,0.105,0.255,-0.41,0.185,0.094,-0.65,0.0,0.045,-0.24,-0.38,0.154,0.053,0.176,0.0,0.17,西武,2010
後藤武敏,0.152,24.0,37.0,33.0,5.0,0.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.243,0.212,0.455,1.55,0.314,0.162,1.49,0.061,0.092,1.68,1.62,0.25,0.182,0.393,0.0,0.31,西武,2010
片岡易之,0.225,52.0,231.0,204.0,46.0,2.0,19.0,26.0,6.0,1.0,60.0,7.0,8.0,15.0,1.0,30.0,7.0,6.0,0.277,0.294,0.571,14.77,0.375,0.198,2.19,0.069,0.051,16.46,2.44,0.24,0.147,0.45,3.2,0.5,西武,2010
平尾博嗣,0.133,12.0,16.0,15.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.188,0.133,0.321,-0.32,0.232,0.118,-0.63,0.0,0.054,-0.22,-0.42,0.167,0.067,0.214,0.0,0.33,西武,2010
阿部真宏,0.0,14.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.067,0.0,0.067,-1.66,0.067,0.03,-2.36,0.0,0.067,-1.55,-2.2,0.0,0.071,0.063,0.0,1.0,西武,2010
佐藤友亮,0.071,12.0,16.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.071,0.071,0.143,-1.06,0.095,0.05,-1.79,0.0,0.0,-0.97,-1.64,0.067,0.0,0.071,0.0,0.0,西武,2010
野田浩輔,0.25,5.0,8.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.25,0.5,0.75,1.02,0.417,0.238,4.58,0.25,0.0,0.88,3.96,0.4,0.25,0.667,0.0,0.0,西武,2010
細川亨,0.191,112.0,341.0,293.0,56.0,8.0,33.0,28.0,10.0,2.0,94.0,1.0,1.0,20.0,5.0,84.0,23.0,4.0,0.255,0.321,0.576,23.53,0.362,0.195,2.4,0.13,0.064,24.51,2.5,0.214,0.198,0.492,1.78,0.24,西武,2010
坂田遼,0.438,11.0,19.0,16.0,7.0,2.0,4.0,2.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.526,0.813,1.339,5.84,0.797,0.44,17.51,0.375,0.089,5.53,16.59,0.833,0.563,1.778,0.0,0.38,西武,2010
浅村栄斗,0.31,143.0,640.0,565.0,175.0,32.0,127.0,104.0,27.0,0.0,298.0,2.0,4.0,68.0,2.0,105.0,0.0,18.0,0.383,0.527,0.91,108.3,0.559,0.304,7.05,0.218,0.073,106.29,6.92,0.33,0.342,0.902,7.11,0.65,西武,2010
星秀和,0.0,12.0,13.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.154,0.0,0.154,-0.51,0.154,0.069,-1.26,0.0,0.154,-0.33,-0.81,0.0,0.182,0.182,1.5,0.67,西武,2010
米野智人,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.0,0.0,-2.75,0.0,0.0,-0.37,-2.5,0.0,0.0,0.0,0.0,0.0,西武,2010
岳野竜也,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.54,0.0,0.0,-4.86,0.0,0.0,-0.56,-5.04,0.0,0.0,0.0,0.0,0.0,西武,2010
ブラウン,0.155,21.0,65.0,58.0,9.0,0.0,5.0,3.0,2.0,0.0,11.0,0.0,0.0,5.0,2.0,16.0,0.0,0.0,0.246,0.19,0.436,2.46,0.309,0.158,1.36,0.034,0.091,2.78,1.53,0.214,0.121,0.367,3.65,0.31,西武,2010
原拓也,0.168,86.0,138.0,113.0,19.0,0.0,3.0,12.0,4.0,0.0,23.0,0.0,1.0,14.0,3.0,22.0,7.0,1.0,0.275,0.204,0.478,7.2,0.343,0.175,1.89,0.035,0.107,7.98,2.09,0.192,0.168,0.432,0.0,0.64,西武,2010
高山久,0.204,35.0,57.0,54.0,11.0,1.0,4.0,6.0,1.0,0.0,15.0,0.0,1.0,3.0,0.0,16.0,0.0,0.0,0.246,0.278,0.523,3.65,0.338,0.18,2.29,0.074,0.042,3.86,2.42,0.27,0.148,0.442,1.0,0.19,西武,2010
Ｇ．Ｇ．佐藤,0.204,53.0,179.0,162.0,33.0,6.0,19.0,13.0,4.0,0.0,55.0,1.0,1.0,12.0,1.0,52.0,0.0,1.0,0.257,0.34,0.596,14.28,0.37,0.201,2.86,0.136,0.053,16.38,3.28,0.25,0.21,0.519,1.71,0.23,西武,2010
上本達之,0.1,11.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.182,0.1,0.282,-0.09,0.215,0.107,-0.27,0.0,0.082,0.01,0.03,0.125,0.1,0.222,0.0,0.5,西武,2010
大島裕行,0.222,5.0,9.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.222,0.333,0.556,0.61,0.333,0.183,2.37,0.111,0.0,0.57,2.2,0.333,0.111,0.429,0.0,0.0,西武,2010
