player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
岩尾利弘,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,5.0,0.0,2.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,2.33,4.45,0.5,1.0,0.571,西武,2013
西口文也,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,6.0,1.0,1.0,0.0,4.0,9.0,4.0,4.0,0.0,0.0,1.75,5.12,4.0,1.25,0.5,西武,2013
増田達至,5.17,41.0,2.0,4.0,14.0,2.0,4.0,0.0,0.333,170.0,38.1,44.0,5.0,9.0,2.0,23.0,5.4,23.0,22.0,0.0,0.0,1.38,4.32,2.56,0.83,0.66,西武,2013
大石達也,7.0,10.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,43.0,9.0,12.0,2.0,4.0,1.0,7.0,7.0,8.0,7.0,0.0,0.0,1.78,6.12,1.75,1.22,0.667,西武,2013
石井一久,6.75,7.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,25.0,5.1,5.0,2.0,4.0,0.0,5.0,8.44,4.0,4.0,0.0,0.0,1.69,8.37,1.25,1.69,0.714,西武,2013
菊池雄星,3.08,23.0,14.0,4.0,0.0,0.0,0.0,1.0,0.778,654.0,163.2,124.0,16.0,45.0,4.0,153.0,8.41,59.0,56.0,0.0,0.0,1.03,3.4,3.4,1.21,0.745,西武,2013
涌井秀章,3.9,45.0,5.0,7.0,7.0,13.0,15.0,1.0,0.417,398.0,92.1,89.0,4.0,29.0,8.0,79.0,7.7,51.0,40.0,0.0,1.0,1.28,3.14,2.72,1.17,0.705,西武,2013
野上亮磨,3.63,24.0,11.0,10.0,0.0,0.0,0.0,2.0,0.524,577.0,144.0,128.0,10.0,24.0,5.0,113.0,7.06,62.0,58.0,1.0,0.0,1.06,3.04,4.71,0.95,0.673,西武,2013
十亀剣,4.42,22.0,5.0,8.0,0.0,0.0,0.0,0.0,0.385,535.0,124.1,114.0,16.0,56.0,6.0,82.0,5.94,65.0,61.0,0.0,0.0,1.37,4.97,1.46,1.11,0.719,西武,2013
岡本篤志,6.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.2,4.0,0.0,2.0,0.0,2.0,6.75,2.0,2.0,0.0,0.0,2.25,3.87,1.0,1.5,0.667,西武,2013
平野将光,8.64,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.0,8.1,10.0,1.0,8.0,0.0,4.0,4.32,8.0,8.0,0.0,0.0,2.16,6.24,0.5,1.44,0.588,西武,2013
サファテ,1.87,58.0,9.0,1.0,10.0,16.0,25.0,0.0,0.9,229.0,57.2,29.0,4.0,24.0,4.0,66.0,10.3,13.0,12.0,0.0,0.0,0.92,3.14,2.75,1.56,0.849,西武,2013
藤原良平,1.54,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,11.2,10.0,1.0,7.0,2.0,5.0,3.86,3.0,2.0,0.0,0.0,1.46,5.69,0.71,1.03,0.944,西武,2013
小石博孝,4.1,22.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,115.0,26.1,24.0,4.0,15.0,4.0,10.0,3.42,12.0,12.0,0.0,0.0,1.48,6.5,0.67,0.95,0.795,西武,2013
岡本洋介,5.34,14.0,6.0,3.0,1.0,0.0,0.0,0.0,0.667,286.0,64.0,65.0,15.0,23.0,7.0,35.0,4.92,42.0,38.0,0.0,0.0,1.38,6.48,1.52,0.91,0.713,西武,2013
牧田和久,2.3,58.0,3.0,3.0,0.0,28.0,31.0,0.0,0.5,248.0,62.2,59.0,4.0,5.0,3.0,35.0,5.03,18.0,16.0,0.0,0.0,1.02,3.22,7.0,0.64,0.81,西武,2013
坂元弥太郎,5.19,11.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,77.0,17.1,15.0,1.0,11.0,0.0,14.0,7.27,11.0,10.0,0.0,0.0,1.5,3.99,1.27,1.44,0.64,西武,2013
松永浩典,3.54,56.0,2.0,1.0,0.0,12.0,14.0,0.0,0.667,173.0,40.2,44.0,4.0,7.0,2.0,31.0,6.86,17.0,16.0,0.0,0.0,1.25,3.46,4.43,0.93,0.755,西武,2013
山本淳,2.25,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74.0,16.0,21.0,1.0,7.0,2.0,10.0,5.63,5.0,4.0,0.0,0.0,1.75,4.37,1.43,1.06,0.897,西武,2013
高橋朋己,2.92,62.0,2.0,3.0,22.0,14.0,16.0,0.0,0.4,264.0,61.2,49.0,3.0,26.0,5.0,55.0,8.03,21.0,20.0,0.0,0.0,1.22,3.43,2.12,1.31,0.779,西武,2013
川崎雄介,5.79,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.2,5.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.71,5.05,0.0,0.64,0.625,西武,2013
中崎雄太,9.31,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,9.2,19.0,2.0,5.0,0.0,3.0,2.79,12.0,10.0,0.0,0.0,2.48,6.43,0.6,0.83,0.636,西武,2013
武隈祥太,6.37,35.0,1.0,2.0,0.0,9.0,10.0,0.0,0.333,140.0,29.2,36.0,4.0,19.0,3.0,22.0,6.67,22.0,21.0,0.0,0.0,1.85,5.51,1.16,1.38,0.685,西武,2013
シコースキー,4.91,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,3.2,4.0,1.0,2.0,0.0,3.0,7.36,2.0,2.0,0.0,0.0,1.64,5.03,1.5,1.36,0.8,西武,2013
ウィリアムス,2.96,60.0,6.0,4.0,0.0,20.0,26.0,0.0,0.6,230.0,51.2,54.0,1.0,25.0,4.0,59.0,10.28,18.0,17.0,0.0,0.0,1.53,2.6,2.36,1.63,0.805,西武,2013
松下建太,3.48,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,44.0,10.1,11.0,0.0,2.0,2.0,7.0,6.1,4.0,4.0,0.0,0.0,1.26,2.93,3.5,0.87,0.733,西武,2013
佐藤勇,5.76,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.25,111.0,25.0,24.0,3.0,13.0,5.0,17.0,6.12,16.0,16.0,0.0,0.0,1.48,5.48,1.31,1.2,0.667,西武,2013
田中靖洋,1.35,18.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,105.0,26.2,23.0,1.0,7.0,0.0,13.0,4.39,4.0,4.0,0.0,0.0,1.13,3.42,1.86,0.75,0.897,西武,2013
宮田和希,5.21,18.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,91.0,19.0,19.0,3.0,15.0,0.0,15.0,7.11,11.0,11.0,0.0,0.0,1.79,5.96,1.0,1.58,0.742,西武,2013
相内誠,3.45,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,15.2,14.0,1.0,7.0,1.0,12.0,6.89,6.0,6.0,0.0,0.0,1.34,3.95,1.71,1.21,0.762,西武,2013
