player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
大嶺祐太,3.82,20.0,2.0,2.0,0.0,0.0,2.0,0.0,0.5,142.0,30.2,33.0,4.0,22.0,0.0,21.0,6.16,19.0,13.0,0.0,0.0,1.79,5.5,0.95,1.4,0.824,ロッテ,2012
吉見祐治,3.86,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,18.2,20.0,4.0,10.0,0.0,12.0,5.79,8.0,8.0,0.0,0.0,1.61,6.07,1.2,1.18,0.846,ロッテ,2012
橋本健太郎,4.2,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,70.0,15.0,13.0,1.0,8.0,2.0,12.0,7.2,9.0,7.0,0.0,0.0,1.4,4.39,1.5,1.33,0.727,ロッテ,2012
大谷智久,5.4,45.0,1.0,3.0,0.0,18.0,19.0,0.0,0.25,191.0,41.2,50.0,9.0,17.0,1.0,36.0,7.78,25.0,25.0,0.0,0.0,1.61,5.28,2.12,1.27,0.729,ロッテ,2012
上野大樹,9.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,2.0,2.0,0.0,1.0,0.0,3.0,13.5,2.0,2.0,0.0,0.0,1.5,1.62,3.0,2.0,0.333,ロッテ,2012
中後悠平,6.75,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,3.0,0.0,5.0,0.0,1.0,2.25,4.0,3.0,0.0,0.0,2.0,6.37,0.2,1.5,0.625,ロッテ,2012
成瀬善久,4.67,23.0,9.0,11.0,0.0,0.0,0.0,2.0,0.45,614.0,142.2,153.0,18.0,41.0,4.0,88.0,5.55,78.0,74.0,0.0,0.0,1.36,4.47,2.15,0.9,0.689,ロッテ,2012
藤岡貴裕,16.62,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,8.2,14.0,2.0,12.0,1.0,5.0,5.19,16.0,16.0,0.0,0.0,3.0,9.47,0.42,1.96,0.44,ロッテ,2012
唐川侑己,2.83,25.0,1.0,3.0,0.0,4.0,4.0,0.0,0.25,188.0,47.2,43.0,5.0,10.0,1.0,31.0,5.85,17.0,15.0,0.0,0.0,1.11,3.81,3.1,0.86,0.796,ロッテ,2012
服部泰卓,8.31,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.0,8.2,14.0,2.0,8.0,2.0,3.0,3.12,8.0,8.0,0.0,0.0,2.54,8.89,0.38,1.27,0.727,ロッテ,2012
