player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
清田育宏,0.226,96.0,303.0,261.0,59.0,2.0,27.0,18.0,10.0,1.0,77.0,2.0,2.0,32.0,0.0,63.0,6.0,8.0,0.306,0.295,0.601,23.38,0.405,0.212,2.84,0.069,0.08,24.53,2.98,0.277,0.192,0.514,2.0,0.51,ロッテ,2019
藤原恭大,0.105,6.0,19.0,19.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.105,0.105,0.211,-0.73,0.14,0.074,-1.15,0.0,0.0,-0.58,-0.92,0.154,0.0,0.118,0.0,0.0,ロッテ,2019
角中勝也,0.265,112.0,470.0,411.0,109.0,7.0,57.0,44.0,23.0,2.0,157.0,3.0,3.0,48.0,5.0,63.0,0.0,9.0,0.345,0.382,0.727,55.57,0.472,0.251,4.69,0.117,0.079,55.85,4.71,0.294,0.234,0.669,4.2,0.76,ロッテ,2019
藤岡裕大,0.23,143.0,611.0,535.0,123.0,5.0,42.0,58.0,15.0,5.0,163.0,13.0,14.0,44.0,5.0,97.0,26.0,9.0,0.294,0.305,0.599,46.54,0.396,0.208,2.73,0.075,0.064,47.35,2.77,0.257,0.159,0.491,7.37,0.45,ロッテ,2019
安田尚憲,0.151,17.0,60.0,53.0,8.0,1.0,7.0,3.0,3.0,0.0,14.0,0.0,0.0,7.0,0.0,20.0,0.0,0.0,0.25,0.264,0.514,3.48,0.338,0.179,2.09,0.113,0.099,3.77,2.26,0.219,0.245,0.467,0.0,0.35,ロッテ,2019
鈴木大地,0.266,143.0,558.0,477.0,127.0,8.0,49.0,44.0,27.0,6.0,190.0,4.0,8.0,44.0,17.0,55.0,14.0,11.0,0.346,0.398,0.744,68.09,0.478,0.255,4.78,0.132,0.079,67.69,4.75,0.274,0.233,0.699,8.0,0.8,ロッテ,2019
中村奨吾,0.284,143.0,639.0,552.0,157.0,8.0,57.0,82.0,30.0,3.0,217.0,15.0,39.0,60.0,22.0,94.0,0.0,11.0,0.374,0.393,0.767,87.01,0.505,0.267,5.51,0.109,0.09,85.64,5.43,0.327,0.261,0.767,13.28,0.64,ロッテ,2019
福浦和也,0.21,82.0,196.0,181.0,38.0,1.0,11.0,6.0,4.0,0.0,45.0,0.0,0.0,10.0,2.0,34.0,0.0,4.0,0.256,0.249,0.505,9.94,0.339,0.178,1.8,0.039,0.046,10.93,1.98,0.25,0.094,0.388,0.0,0.29,ロッテ,2019
加藤翔平,0.231,69.0,132.0,121.0,28.0,0.0,9.0,12.0,6.0,2.0,38.0,0.0,7.0,5.0,1.0,25.0,4.0,3.0,0.266,0.314,0.58,10.58,0.37,0.198,2.83,0.083,0.034,10.55,2.82,0.277,0.182,0.531,0.0,0.2,ロッテ,2019
平沢大河,0.213,112.0,353.0,291.0,62.0,5.0,32.0,40.0,15.0,2.0,96.0,2.0,8.0,48.0,3.0,82.0,8.0,1.0,0.328,0.33,0.657,36.84,0.438,0.23,4.09,0.117,0.114,38.01,4.22,0.265,0.302,0.659,6.15,0.59,ロッテ,2019
田村龍弘,0.239,143.0,476.0,415.0,99.0,3.0,35.0,32.0,14.0,7.0,136.0,3.0,3.0,40.0,3.0,68.0,16.0,13.0,0.309,0.328,0.636,40.77,0.418,0.221,3.14,0.089,0.07,40.88,3.15,0.265,0.186,0.539,3.0,0.59,ロッテ,2019
岡大海,0.204,51.0,166.0,142.0,29.0,3.0,13.0,19.0,5.0,0.0,43.0,2.0,7.0,15.0,5.0,30.0,2.0,3.0,0.299,0.303,0.602,14.03,0.4,0.21,3.1,0.099,0.095,15.14,3.35,0.23,0.239,0.576,4.2,0.5,ロッテ,2019
菅野剛士,0.176,53.0,161.0,131.0,23.0,2.0,18.0,15.0,3.0,2.0,36.0,0.0,1.0,20.0,5.0,27.0,4.0,4.0,0.306,0.275,0.581,11.93,0.397,0.206,2.75,0.099,0.13,12.91,2.98,0.196,0.26,0.554,1.33,0.74,ロッテ,2019
髙濱卓也,0.25,10.0,12.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.25,0.5,0.67,0.333,0.175,2.0,0.0,0.0,0.67,2.01,0.3,0.0,0.333,0.0,0.0,ロッテ,2019
